@relation 'Station 46001_X150.214.94.234.71.3.28.48_2.arff'

@attribute pres numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WDIR numeric

@data
102040,0.634146,0.592982,0.383117,0.445126,0.458387,?,0.873862,0.301508,0.12963,?,?,?,0.908078
102260,0.585366,0.536842,0.353432,0.389332,0.455826,?,0.916775,0.326633,0.138889,?,?,?,0.880223
102560,0.458537,0.421053,0.329314,0.389332,0.417414,?,0.955787,0.40201,0.138889,?,?,?,0.938719
102830,0.307317,0.266667,0.21243,0.389332,0.391805,?,0.992198,0.407035,0.12963,?,?,?,0.871866
102880,0.507317,0.42807,0.2282,0.303495,0.314981,?,0.997399,0.366834,0.12963,?,?,?,0.857939
102680,0.458537,0.410526,0.172542,0.303495,0.265045,?,0.973992,0.361809,0.12963,?,?,?,0.883008
102540,0.356098,0.315789,0.173469,0.389332,0.31114,?,0.970091,0.452261,0.12963,?,?,?,0.955432
102560,0.278049,0.277193,0.159555,0.269773,0.318822,?,0.970091,0.427136,0.12963,?,?,?,0.972145
102250,0.37561,0.322807,0.163265,0.240956,0.316261,?,0.93238,0.422111,0.12037,?,?,?,0.871866
101970,0.512195,0.473684,0.19666,0.389332,0.293214,?,0.914174,0.386935,0.12037,?,?,?,0.033426
101920,0.541463,0.480702,0.226345,0.342735,0.290653,?,0.906372,0.386935,0.12037,?,?,?,0
101620,0.536585,0.491228,0.249536,0.389332,0.345711,?,0.869961,0.356784,0.12963,?,?,?,0.005571
101440,0.614634,0.554386,0.346011,0.445126,0.422535,?,0.785436,0.38191,0.12037,?,?,?,0.927577
101020,0.75122,0.670175,0.318182,0.389332,0.389245,?,0.778934,0.39196,0.12963,?,?,?,0.311978
101130,0.707317,0.617544,0.427644,0.389332,0.510883,?,0.814044,0.341709,0.111111,?,?,?,0.325905
101140,0.482927,0.470175,0.247681,0.303495,0.331626,?,0.819246,0.226131,0.111111,?,?,?,0.286908
101040,0.536585,0.445614,0.20872,0.303495,0.303457,?,0.806242,0.236181,0.101852,?,?,?,0.300836
100800,0.560976,0.480702,0.211503,0.389332,0.320102,?,0.777633,0.19598,0.12037,?,?,?,0.153203
100590,0.497561,0.445614,0.205009,0.303495,0.290653,?,0.747724,0.286432,0.12037,?,?,?,0.225627
100110,0.492683,0.407018,0.21243,0.342735,0.295775,?,0.694408,0.261307,0.111111,?,?,?,0.245125
99630,0.517073,0.442105,0.214286,0.303495,0.288092,?,0.626788,0.331658,0.111111,?,?,?,0.24234
98800,0.634146,0.557895,0.220779,0.303495,0.282971,?,0.53186,0.326633,0.111111,?,?,?,0.175487
97750,0.785366,0.712281,0.342301,0.342735,0.385403,?,0.43433,0.366834,0.111111,?,?,?,0.192201
96900,0.882927,0.77193,0.492579,0.494788,0.559539,?,0.342003,0.361809,0.111111,?,?,?,0.158774
96410,0.907317,0.810526,0.710575,0.622931,0.729834,?,0.263979,0.346734,0.101852,?,?,?,0.125348
96120,0.868293,0.796491,0.713358,0.677498,0.765685,?,0.217165,0.341709,0.111111,?,?,?,0.097493
96000,0.970732,0.863158,0.714286,0.622931,0.720871,?,0.182055,0.351759,0.111111,?,?,?,0.047354
96320,0.780488,0.712281,0.694805,0.677498,0.766965,?,0.172952,0.326633,0.111111,?,?,?,0.986072
96420,0.560976,0.515789,0.571429,0.677498,0.74904,?,0.157347,0.301508,0.111111,?,?,?,0.877437
96380,0.517073,0.470175,0.403525,0.622931,0.571063,?,0.119636,0.316583,0.101852,?,?,?,0.799443
96270,0.536585,0.463158,0.367347,0.342735,0.464789,?,0.10013,0.276382,0.101852,?,?,?,0.718663
