@relation 'Station 46001_2.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
245,96240,?,?,?,?,?,?,?,?,?,?,?,?,?
238,93510,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87500,?,?,?,?,?,?,?,?,?,?,?,?,?
238,87270,?,?,?,?,?,?,?,?,?,?,?,?,?
244,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
239,87180,?,?,?,?,?,?,?,?,?,?,?,?,?
239,86600,?,?,?,?,?,?,?,?,?,?,?,?,?
248,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
238,90320,?,?,?,?,?,?,?,?,?,?,?,?,?
236,90770,?,?,?,?,?,?,?,?,?,?,?,?,?
245,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
248,93240,?,?,?,?,?,?,?,?,?,?,?,?,?
243,93030,?,?,?,?,?,?,?,?,?,?,?,?,?
240,89350,?,?,?,?,?,?,?,?,?,?,?,?,?
242,90860,?,?,?,?,?,?,?,?,?,?,?,?,?
250,90130,?,?,?,?,?,?,?,?,?,?,?,?,?
253,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
251,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
248,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
247,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
251,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
247,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
247,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
239,84960,?,?,?,?,?,?,?,?,?,?,?,?,?
236,86800,?,?,?,?,?,?,?,?,?,?,?,?,?
238,91240,?,?,?,?,?,?,?,?,?,?,?,?,?
241,93030,?,?,?,?,?,?,?,?,?,?,?,?,?
246,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
248,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
241,97520,?,?,?,?,?,?,?,?,?,?,?,?,?
237,92680,?,?,?,?,?,?,?,?,?,?,?,?,?
241,91300,?,?,?,?,?,?,?,?,?,?,?,?,?
241,88870,?,?,?,?,?,?,?,?,?,?,?,?,?
237,88580,?,?,?,?,?,?,?,?,?,?,?,?,?
238,88340,?,?,?,?,?,?,?,?,?,?,?,?,?
237,88340,?,?,?,?,?,?,?,?,?,?,?,?,?
237,86140,?,?,?,?,?,?,?,?,?,?,?,?,?
250,96630,?,?,?,?,?,?,?,?,?,?,?,?,?
268,99180,?,?,?,?,?,?,?,?,?,?,?,?,?
256,99750,?,?,?,?,?,?,?,?,?,?,?,?,?
