@relation 'Station 46001_7.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
241,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
238,93130,?,?,?,?,?,?,?,?,?,?,?,?,?
239,92880,?,?,?,?,?,?,?,?,?,?,?,?,?
243,93500,?,?,?,?,?,?,?,?,?,?,?,?,?
244,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244,93330,?,?,?,?,?,?,?,?,?,?,?,?,?
244,92290,?,?,?,?,?,?,?,?,?,?,?,?,?
242,92530,?,?,?,?,?,?,?,?,?,?,?,?,?
241,91240,?,?,?,?,?,?,?,?,?,?,?,?,?
241,91230,?,?,?,?,?,?,?,?,?,?,?,?,?
246,89400,?,?,?,?,?,?,?,?,?,?,?,?,?
249,91560,?,?,?,?,?,?,?,?,?,?,?,?,?
244,92420,?,?,?,?,?,?,?,?,?,?,?,?,?
239,92510,?,?,?,?,?,?,?,?,?,?,?,?,?
242,90840,?,?,?,?,?,?,?,?,?,?,?,?,?
244,93580,?,?,?,?,?,?,?,?,?,?,?,?,?
246,91530,?,?,?,?,?,?,?,?,?,?,?,?,?
246,89060,?,?,?,?,?,?,?,?,?,?,?,?,?
246,91750,?,?,?,?,?,?,?,?,?,?,?,?,?
245,90830,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91930,?,?,?,?,?,?,?,?,?,?,?,?,?
244,88960,?,?,?,?,?,?,?,?,?,?,?,?,?
243,88460,?,?,?,?,?,?,?,?,?,?,?,?,?
243,94100,?,?,?,?,?,?,?,?,?,?,?,?,?
243,91440,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91760,?,?,?,?,?,?,?,?,?,?,?,?,?
244,94380,?,?,?,?,?,?,?,?,?,?,?,?,?
243,94070,?,?,?,?,?,?,?,?,?,?,?,?,?
246,93980,?,?,?,?,?,?,?,?,?,?,?,?,?
248,92400,?,?,?,?,?,?,?,?,?,?,?,?,?
248,92400,?,?,?,?,?,?,?,?,?,?,?,?,?
248,91180,?,?,?,?,?,?,?,?,?,?,?,?,?
246,89670,?,?,?,?,?,?,?,?,?,?,?,?,?
246,94410,?,?,?,?,?,?,?,?,?,?,?,?,?
246,92120,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91080,?,?,?,?,?,?,?,?,?,?,?,?,?
244,88490,?,?,?,?,?,?,?,?,?,?,?,?,?
247,94590,?,?,?,?,?,?,?,?,?,?,?,?,?
248,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
252,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
253,43640,?,?,?,?,?,?,?,?,?,?,?,?,?
247,96280,?,?,?,?,?,?,?,?,?,?,?,?,?
238,93070,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87980,?,?,?,?,?,?,?,?,?,?,?,?,?
243,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
253,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
250,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
246,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244,46730,?,?,?,?,?,?,?,?,?,?,?,?,?
241,95120,?,?,?,?,?,?,?,?,?,?,?,?,?
241,94990,?,?,?,?,?,?,?,?,?,?,?,?,?
241,96190,?,?,?,?,?,?,?,?,?,?,?,?,?
237,95640,?,?,?,?,?,?,?,?,?,?,?,?,?
236,96560,?,?,?,?,?,?,?,?,?,?,?,?,?
235,92880,?,?,?,?,?,?,?,?,?,?,?,?,?
234,87710,?,?,?,?,?,?,?,?,?,?,?,?,?
234,87600,?,?,?,?,?,?,?,?,?,?,?,?,?
235,84820,?,?,?,?,?,?,?,?,?,?,?,?,?
234,84010,?,?,?,?,?,?,?,?,?,?,?,?,?
238,87400,?,?,?,?,?,?,?,?,?,?,?,?,?
238,88630,?,?,?,?,?,?,?,?,?,?,?,?,?
234,88430,?,?,?,?,?,?,?,?,?,?,?,?,?
235,88170,?,?,?,?,?,?,?,?,?,?,?,?,?
235,88170,?,?,?,?,?,?,?,?,?,?,?,?,?
233,88090,?,?,?,?,?,?,?,?,?,?,?,?,?
234,83570,?,?,?,?,?,?,?,?,?,?,?,?,?
234,86640,?,?,?,?,?,?,?,?,?,?,?,?,?
236,85910,?,?,?,?,?,?,?,?,?,?,?,?,?
241,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
251,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
248,48460,?,?,?,?,?,?,?,?,?,?,?,?,?
239,96750,?,?,?,?,?,?,?,?,?,?,?,?,?
237,97050,?,?,?,?,?,?,?,?,?,?,?,?,?
236,93220,?,?,?,?,?,?,?,?,?,?,?,?,?
236,88270,?,?,?,?,?,?,?,?,?,?,?,?,?
236,86410,?,?,?,?,?,?,?,?,?,?,?,?,?
243,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
240,85320,?,?,?,?,?,?,?,?,?,?,?,?,?
242,86280,?,?,?,?,?,?,?,?,?,?,?,?,?
244,40150,?,?,?,?,?,?,?,?,?,?,?,?,?
244,85650,?,?,?,?,?,?,?,?,?,?,?,?,?
244,84180,?,?,?,?,?,?,?,?,?,?,?,?,?
242,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
240,43820,?,?,?,?,?,?,?,?,?,?,?,?,?
242,82750,?,?,?,?,?,?,?,?,?,?,?,?,?
247,81810,?,?,?,?,?,?,?,?,?,?,?,?,?
246,87600,?,?,?,?,?,?,?,?,?,?,?,?,?
246,86490,?,?,?,?,?,?,?,?,?,?,?,?,?
243,88000,?,?,?,?,?,?,?,?,?,?,?,?,?
240,91530,?,?,?,?,?,?,?,?,?,?,?,?,?
