@relation 'Station 46001_10.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
242,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
239,93130,?,?,?,?,?,?,?,?,?,?,?,?,?
239,92880,?,?,?,?,?,?,?,?,?,?,?,?,?
243,93500,?,?,?,?,?,?,?,?,?,?,?,?,?
244,93620,?,?,?,?,?,?,?,?,?,?,?,?,?
245,93330,?,?,?,?,?,?,?,?,?,?,?,?,?
245,92290,?,?,?,?,?,?,?,?,?,?,?,?,?
243,92530,?,?,?,?,?,?,?,?,?,?,?,?,?
242,91240,?,?,?,?,?,?,?,?,?,?,?,?,?
241,91230,?,?,?,?,?,?,?,?,?,?,?,?,?
244,89400,?,?,?,?,?,?,?,?,?,?,?,?,?
250,91560,?,?,?,?,?,?,?,?,?,?,?,?,?
247,47210,?,?,?,?,?,?,?,?,?,?,?,?,?
240,92510,?,?,?,?,?,?,?,?,?,?,?,?,?
241,90840,?,?,?,?,?,?,?,?,?,?,?,?,?
244,93580,?,?,?,?,?,?,?,?,?,?,?,?,?
246,91530,?,?,?,?,?,?,?,?,?,?,?,?,?
247,89060,?,?,?,?,?,?,?,?,?,?,?,?,?
247,91750,?,?,?,?,?,?,?,?,?,?,?,?,?
246,90830,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91930,?,?,?,?,?,?,?,?,?,?,?,?,?
245,88960,?,?,?,?,?,?,?,?,?,?,?,?,?
245,88460,?,?,?,?,?,?,?,?,?,?,?,?,?
244,94100,?,?,?,?,?,?,?,?,?,?,?,?,?
243,91440,?,?,?,?,?,?,?,?,?,?,?,?,?
244,91760,?,?,?,?,?,?,?,?,?,?,?,?,?
245,94380,?,?,?,?,?,?,?,?,?,?,?,?,?
244,94070,?,?,?,?,?,?,?,?,?,?,?,?,?
245,93980,?,?,?,?,?,?,?,?,?,?,?,?,?
247,92400,?,?,?,?,?,?,?,?,?,?,?,?,?
249,92400,?,?,?,?,?,?,?,?,?,?,?,?,?
248,91180,?,?,?,?,?,?,?,?,?,?,?,?,?
246,89670,?,?,?,?,?,?,?,?,?,?,?,?,?
246,94410,?,?,?,?,?,?,?,?,?,?,?,?,?
246,92120,?,?,?,?,?,?,?,?,?,?,?,?,?
247,91080,?,?,?,?,?,?,?,?,?,?,?,?,?
245,88490,?,?,?,?,?,?,?,?,?,?,?,?,?
246,94590,?,?,?,?,?,?,?,?,?,?,?,?,?
248,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
250,46700,?,?,?,?,?,?,?,?,?,?,?,?,?
254,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
249,48140,?,?,?,?,?,?,?,?,?,?,?,?,?
239,93070,?,?,?,?,?,?,?,?,?,?,?,?,?
235,87980,?,?,?,?,?,?,?,?,?,?,?,?,?
239,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
251,90620,?,?,?,?,?,?,?,?,?,?,?,?,?
252,95880,?,?,?,?,?,?,?,?,?,?,?,?,?
247,94370,?,?,?,?,?,?,?,?,?,?,?,?,?
243,94960,?,?,?,?,?,?,?,?,?,?,?,?,?
241,95120,?,?,?,?,?,?,?,?,?,?,?,?,?
242,94990,?,?,?,?,?,?,?,?,?,?,?,?,?
244,96190,?,?,?,?,?,?,?,?,?,?,?,?,?
239,95640,?,?,?,?,?,?,?,?,?,?,?,?,?
238,96560,?,?,?,?,?,?,?,?,?,?,?,?,?
235,92880,?,?,?,?,?,?,?,?,?,?,?,?,?
235,87710,?,?,?,?,?,?,?,?,?,?,?,?,?
235,87600,?,?,?,?,?,?,?,?,?,?,?,?,?
237,84820,?,?,?,?,?,?,?,?,?,?,?,?,?
236,84010,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87400,?,?,?,?,?,?,?,?,?,?,?,?,?
240,88630,?,?,?,?,?,?,?,?,?,?,?,?,?
234,88430,?,?,?,?,?,?,?,?,?,?,?,?,?
235,88170,?,?,?,?,?,?,?,?,?,?,?,?,?
236,88170,?,?,?,?,?,?,?,?,?,?,?,?,?
234,88090,?,?,?,?,?,?,?,?,?,?,?,?,?
234,83570,?,?,?,?,?,?,?,?,?,?,?,?,?
234,86640,?,?,?,?,?,?,?,?,?,?,?,?,?
235,85910,?,?,?,?,?,?,?,?,?,?,?,?,?
