@relation 'Station 46001_5.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
240,91020,?,?,?,?,?,?,?,?,?,?,?,?,?
241,93410,?,?,?,?,?,?,?,?,?,?,?,?,?
240,92720,?,?,?,?,?,?,?,?,?,?,?,?,?
245,90450,?,?,?,?,?,?,?,?,?,?,?,?,?
247,92110,?,?,?,?,?,?,?,?,?,?,?,?,?
246,92000,?,?,?,?,?,?,?,?,?,?,?,?,?
246,92180,?,?,?,?,?,?,?,?,?,?,?,?,?
245,92550,?,?,?,?,?,?,?,?,?,?,?,?,?
243,92750,?,?,?,?,?,?,?,?,?,?,?,?,?
242,93000,?,?,?,?,?,?,?,?,?,?,?,?,?
243,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
246,44750,?,?,?,?,?,?,?,?,?,?,?,?,?
251,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
248,46720,?,?,?,?,?,?,?,?,?,?,?,?,?
241,86660,?,?,?,?,?,?,?,?,?,?,?,?,?
241,93140,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91960,?,?,?,?,?,?,?,?,?,?,?,?,?
248,89580,?,?,?,?,?,?,?,?,?,?,?,?,?
249,92450,?,?,?,?,?,?,?,?,?,?,?,?,?
248,88970,?,?,?,?,?,?,?,?,?,?,?,?,?
246,91530,?,?,?,?,?,?,?,?,?,?,?,?,?
246,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
247,84940,?,?,?,?,?,?,?,?,?,?,?,?,?
247,92660,?,?,?,?,?,?,?,?,?,?,?,?,?
246,90880,?,?,?,?,?,?,?,?,?,?,?,?,?
244,90190,?,?,?,?,?,?,?,?,?,?,?,?,?
246,93280,?,?,?,?,?,?,?,?,?,?,?,?,?
245,92040,?,?,?,?,?,?,?,?,?,?,?,?,?
247,93070,?,?,?,?,?,?,?,?,?,?,?,?,?
247,91430,?,?,?,?,?,?,?,?,?,?,?,?,?
247,93120,?,?,?,?,?,?,?,?,?,?,?,?,?
247,93560,?,?,?,?,?,?,?,?,?,?,?,?,?
247,91480,?,?,?,?,?,?,?,?,?,?,?,?,?
245,94100,?,?,?,?,?,?,?,?,?,?,?,?,?
245,93550,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91500,?,?,?,?,?,?,?,?,?,?,?,?,?
246,90420,?,?,?,?,?,?,?,?,?,?,?,?,?
245,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
245,89000,?,?,?,?,?,?,?,?,?,?,?,?,?
245,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
245,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
248,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
249,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
237,91520,?,?,?,?,?,?,?,?,?,?,?,?,?
234,87730,?,?,?,?,?,?,?,?,?,?,?,?,?
242,86310,?,?,?,?,?,?,?,?,?,?,?,?,?
256,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
256,91630,?,?,?,?,?,?,?,?,?,?,?,?,?
249,92930,?,?,?,?,?,?,?,?,?,?,?,?,?
245,95550,?,?,?,?,?,?,?,?,?,?,?,?,?
243,95190,?,?,?,?,?,?,?,?,?,?,?,?,?
245,92510,?,?,?,?,?,?,?,?,?,?,?,?,?
242,97550,?,?,?,?,?,?,?,?,?,?,?,?,?
238,93940,?,?,?,?,?,?,?,?,?,?,?,?,?
237,96340,?,?,?,?,?,?,?,?,?,?,?,?,?
235,93240,?,?,?,?,?,?,?,?,?,?,?,?,?
234,87530,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87500,?,?,?,?,?,?,?,?,?,?,?,?,?
238,87210,?,?,?,?,?,?,?,?,?,?,?,?,?
235,87970,?,?,?,?,?,?,?,?,?,?,?,?,?
241,87970,?,?,?,?,?,?,?,?,?,?,?,?,?
236,88810,?,?,?,?,?,?,?,?,?,?,?,?,?
234,87940,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87790,?,?,?,?,?,?,?,?,?,?,?,?,?
235,87760,?,?,?,?,?,?,?,?,?,?,?,?,?
233,87440,?,?,?,?,?,?,?,?,?,?,?,?,?
234,87540,?,?,?,?,?,?,?,?,?,?,?,?,?
234,87390,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87120,?,?,?,?,?,?,?,?,?,?,?,?,?
240,85450,?,?,?,?,?,?,?,?,?,?,?,?,?
253,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
