@relation ns.arff

@attribute DATE numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric

@data
1325616600,51,13.2,15.7,3.71,6.67,6.42,?,986,3.3,4.1,?,?,?
1325620200,48,10.8,13.8,3.62,7.14,6.33,?,985.7,2.7,4.1,?,?,?
1325623800,42,13,15,3.45,7.69,6.25,?,984.8,3.4,4.1,?,?,?
1325627400,43,13.1,15,3.92,10,6.6,?,984,3.2,4.1,?,?,?
1325631000,40,13.3,17.1,4,9.09,6.58,?,983.2,3,4.1,?,?,?
1325634600,33,12,14.3,3.91,10.81,6.55,?,982.9,3,4.1,?,?,?
1325638200,36,12.6,14.6,4.17,10.81,6.81,?,982.7,3.3,4.1,?,?,?
1325641800,30,12.4,14.6,3.93,10.81,6.59,?,982.7,3.3,4.1,?,?,?
1325645400,32,12.3,15.1,3.74,10.81,6.55,?,982.1,3.5,4.1,?,?,?
1325649000,30,11.9,14.1,3.99,10.81,6.86,?,981.8,3.4,4,?,?,?
1325652600,26,11.1,13.8,4.08,10,7.05,?,981.9,3.4,4,?,?,?
1325656200,32,10.9,13.4,3.57,10.81,6.45,?,981.7,2.2,4,?,?,?
1325659800,20,11.7,14.8,3.64,10,6.57,?,981.1,3.4,4,?,?,?
1325663400,15,12.6,16,4.05,10,6.88,?,981,3.1,4,?,?,?
1325667000,357,15.2,18.5,3.81,10.81,6.29,?,981.2,2.2,4,?,?,?
1325670600,342,15.4,19.3,4.64,9.09,6.7,?,981.8,1.5,4,?,?,?
1325674200,341,14.1,17.9,4.59,8.33,6.57,?,982.3,0.9,4,?,?,?
1325677800,333,14.5,17.8,5.06,9.09,6.91,?,982.3,0.8,4,?,?,?
1325681400,333,14.8,18,5.31,10,7.14,?,982.4,0.6,4,?,?,?
1325685000,332,13.5,17.4,5.1,8.33,6.98,?,982.9,0.3,4,?,?,?
1325688600,319,14.1,17.3,5.11,9.09,7.1,?,983.4,-0.1,4,?,?,?
1325692200,315,15.3,19.5,5.35,10,7.34,?,984.1,-0.6,4,?,?,?
1325695800,316,14.5,18,5.18,10,7.25,?,985.2,-0.6,4,?,?,?
1325699400,314,14.2,17.2,5.33,10,7.17,?,986.4,-0.7,4,?,?,?
1325703000,312,14.7,18.1,5.11,10,7.19,?,987.5,-0.6,4,?,?,?
1325706600,308,14.1,17.2,4.84,10,7.11,?,988.9,-0.7,4,?,?,?
1325710200,307,13.5,16.8,4.35,10.81,6.76,?,990.2,-0.6,4,?,?,?
1325713800,306,15.2,18.8,5.02,10,7.25,?,991.4,-0.8,4,?,?,?
1325717400,298,14.7,18.7,4.53,8.33,6.75,?,992.6,-0.4,4,?,?,?
1325721000,295,13.5,15.9,4.13,11.43,6.55,?,993.6,0.2,4,?,?,?
1325724600,300,13.2,16.4,4.77,10.81,7.02,?,994.8,0.9,4,?,?,?
1325728200,291,13.8,16.7,4.5,10,7.11,?,996,1.5,4,?,?,?
1325731800,293,12.5,16,4.36,10.81,6.94,?,997.2,1.8,4,?,?,?
1325735400,289,12.5,14.9,4.73,10,7.04,?,998.5,1.7,4,?,?,?
1325739000,279,11.1,13.5,4.15,10,6.97,?,999.8,1.4,4,?,?,?
1325742600,262,9.9,11.5,4.16,10,6.92,?,1000.8,1.3,4,?,?,?
1325746200,245,10.3,12.2,4.36,10,7.16,?,1001.6,1.4,4,?,?,?
1325749800,224,10.2,12.4,3.51,8.33,6.54,?,1002.1,1.8,4,?,?,?
1325753400,216,11.9,14.1,3.08,9.09,6.21,?,1002,2.1,4,?,?,?
1325757000,202,12.5,15.2,3.17,7.69,5.9,?,1001.8,2.5,4,?,?,?
1325760600,198,14.7,17.6,2.98,6.25,5.85,?,1001.5,2.8,4,?,?,?
1325764200,196,15.3,18.7,3.4,7.14,5.84,?,1001,3.2,4,?,?,?
1325767800,194,14.6,19.5,3.85,7.69,6.21,?,1000.6,2.6,4,?,?,?
1325771400,186,16.3,19.7,3.96,7.69,6.18,?,1000.1,2.3,4,?,?,?
1325775000,174,14.2,17.4,4.06,9.09,6.39,?,999.2,2.1,4,?,?,?
1325778600,178,14,16.8,4.62,9.09,6.89,?,998,2.3,4,?,?,?
1325782200,265,10.2,12.2,4.85,10,7.23,?,998.6,1.6,4,?,?,?
1325785800,236,7.9,9.4,4.29,10,7.33,?,999.8,2.2,4,?,?,?
1325789400,222,8,10.7,3.91,10,7.02,?,1000.5,2.6,3.9,?,?,?
1325793000,241,6.6,8.2,4.06,9.09,7.48,?,1001.3,1.4,3.9,?,?,?
1325796600,216,6.9,8.9,3.91,10,7.4,?,1001.2,1.3,3.9,?,?,?
1325800200,210,6.5,8.4,3.96,10,7.51,?,1001,1.2,3.9,?,?,?
1325803800,210,2.3,3.8,3.98,10,7.71,?,999.9,1.1,3.9,?,?,?
1325807400,216,1.1,2.5,4.61,10,7.96,?,999.6,0.8,3.9,?,?,?
1325811000,14,2.2,3.6,4.4,10,8.01,?,998.9,0.8,3.9,?,?,?
1325814600,355,5.3,7.2,4.36,10,7.9,?,998.1,1,3.9,?,?,?
1325818200,342,9.6,12.8,4.33,10.81,8.13,?,997,0.8,3.9,?,?,?
1325821800,339,11.1,14.3,4.08,10.81,7.51,?,996.5,0.5,3.9,?,?,?
1325825400,331,12.8,16,3.98,10.81,6.98,?,996.2,0,3.9,?,?,?
1325829000,330,12.3,15,4.01,10.81,6.83,?,996.3,-0.2,3.9,?,?,?
1325832600,323,12.9,16.2,3.88,10,6.53,?,996.6,-0.6,3.9,?,?,?
1325836200,321,13.9,17.1,3.51,10.81,6.27,?,997.2,-0.4,3.9,?,?,?
1325839800,317,13.4,16.9,3.61,10.81,6.25,?,997.8,-0.4,3.9,?,?,?
1325843400,320,13,16.1,4.28,11.43,7.17,?,998.9,-0.7,3.9,?,?,?
1325847000,314,13.1,16.5,4.48,11.43,7.24,?,999.9,-1,3.9,?,?,?
1325850600,309,12.4,15.5,4.31,12.9,7.29,?,1001,-1.5,3.9,?,?,?
1325854200,312,11.8,14.6,4.18,11.43,7.11,?,1002.3,-1.5,3.9,?,?,?
1325857800,320,11.1,14.6,4.23,12.12,7.15,?,1003.1,-2.1,3.9,?,?,?
1325861400,318,10.9,14.6,4.16,12.9,7.23,?,1003.8,-2.2,3.9,?,?,?
1325865000,312,9.5,11.8,4.54,12.12,7.55,?,1003.9,-2.4,3.9,?,?,?
1325868600,311,8.5,12.2,4.14,12.9,7.42,?,1004.5,-2.5,3.9,?,?,?
1325875800,300,3.8,6.2,4.15,13.79,7.98,?,1005.1,-2.8,3.9,?,?,?
1325879400,9,0.8,2.6,4.25,13.79,8.14,?,1005.1,-2.8,3.9,?,?,?
1325883000,103,2.8,3.9,4.01,12.9,8.25,?,1004.1,-2.3,3.8,?,?,?
1325886600,89,3.7,5.8,3.81,12.9,8.26,?,1003.7,-2.1,3.8,?,?,?
1325890200,102,6,8.3,3.57,12.9,8.12,?,1002.7,-1.9,3.9,?,?,?
1325893800,90,9.8,12.4,3.75,12.12,8.25,?,1000.6,-1.6,3.9,?,?,?
1325897400,87,11.3,13.7,3.3,12.9,7.35,?,998.9,-1.2,3.9,?,?,?
1325901000,96,13.3,16.1,3.37,12.12,6.84,?,997,-0.7,3.9,?,?,?
1325904600,92,14.4,17.8,3.43,12.12,6.43,?,995.4,-0.9,3.9,?,?,?
1325908200,90,15.5,19.4,3.31,11.43,6.01,?,992.7,-1.3,3.9,?,?,?
1325911800,88,17.2,21,3.76,10.81,6.32,?,988.9,-0.7,3.9,?,?,?
1325915400,95,17.6,21.8,3.87,6.67,6.25,?,986.3,0.1,3.9,?,?,?
1325919000,100,17.7,21.4,4.52,7.69,6.77,?,984.1,1,3.9,?,?,?
1325922600,102,16.2,20.3,4.59,8.33,6.69,?,981.9,1.8,3.9,?,?,?
1325926200,106,16,19.6,4.9,8.33,6.99,?,979.7,2.4,3.9,?,?,?
1325929800,109,13.3,16,4.75,9.09,7.2,?,977.7,3.1,3.9,?,?,?
1325933400,111,12.4,15.6,5.16,9.09,7.47,?,975.9,3.5,3.9,?,?,?
1325937000,116,9.8,12.2,4.74,9.09,7.36,?,974.1,4.1,3.9,?,?,?
1325940600,137,7.8,9.5,4.73,10,7.52,?,973.3,4.6,3.9,?,?,?
1325944200,173,6.2,8,4.34,10,7.69,?,972.6,4.5,3.9,?,?,?
1325947800,193,6.2,7.9,4.01,10.81,7.58,?,971.5,4.6,3.9,?,?,?
1325951400,174,5.9,7.9,4.24,10,7.8,?,971,4.6,3.9,?,?,?
1325955000,167,6.2,7.5,3.82,10.81,7.62,?,970.5,4.5,3.9,?,?,?
1325958600,175,6.8,8.6,4.17,10,8.05,?,970.3,4.5,3.9,?,?,?
1325962200,172,5.4,6.8,4.26,10.81,7.93,?,970.3,4.5,3.9,?,?,?
1325965800,158,5.4,6.6,4.31,11.43,7.99,?,969.9,4.5,3.9,?,?,?
1325969400,149,5.8,7.2,3.84,10,7.8,?,969.2,4.5,3.9,?,?,?
1325973000,141,5.8,7.5,3.84,10.81,7.85,?,968.4,4.6,3.9,?,?,?
1325976600,165,6.6,7.8,4.12,9.09,7.61,?,967.7,4.8,3.9,?,?,?
1325980200,172,7.7,9.7,3.87,10.81,7.5,?,967.3,4.6,3.9,?,?,?
1325983800,175,5.8,6.9,3.8,10.81,7.18,?,967.4,4.5,3.9,?,?,?
1325987400,175,5.2,6.3,3.41,10,7.13,?,967.9,4.4,3.9,?,?,?
1325991000,190,3.7,4.8,3.77,10,7.68,?,968.5,4.4,3.9,?,?,?
1325994600,225,3.6,4.8,3.46,10.81,7.47,?,969,4.4,3.9,?,?,?
1325998200,250,4.2,5.8,3.21,10,7.52,?,969.9,4.2,3.9,?,?,?
1326001800,271,5.6,8.7,3.24,9.09,7.58,?,971,3.7,3.9,?,?,?
1326005400,306,9.3,11.9,3.16,10.81,7.55,?,972.4,4.1,3.9,?,?,?
1326009000,317,11.4,14.2,3.21,10.81,6.7,?,974.6,3.2,3.9,?,?,?
1326012600,307,12.1,15,3.82,11.43,6.78,?,977.1,2.4,3.9,?,?,?
1326016200,303,11.8,14.1,3.99,11.43,6.98,?,979.4,1.6,3.9,?,?,?
1326019800,302,12.5,15.5,4.26,10.81,7.12,?,981.3,1.3,3.9,?,?,?
1326023400,303,10,12.5,4.7,10,7.47,?,983.1,1.5,3.9,?,?,?
1326027000,273,8.4,10.8,4.77,10.81,7.9,?,984.8,2,3.9,?,?,?
1326030600,268,13.1,15.6,4.81,10,7.8,?,986.3,0.7,3.9,?,?,?
1326034200,270,13.8,16.4,5.23,11.43,8.07,?,987.8,-0.3,3.8,?,?,?
1326037800,271,15.2,19,5.82,11.43,7.88,?,989.1,-1,3.8,?,?,?
1326041400,268,15.4,19.5,5.49,10.81,7.81,?,990.2,-1.7,3.8,?,?,?
1326045000,270,15,19.3,6.12,12.12,7.97,?,991.8,-2.2,3.8,?,?,?
1326048600,270,14.4,19.3,5.85,10.81,7.77,?,993.5,-2.4,3.8,?,?,?
1326052200,267,14.8,17.5,6.35,13.79,8.05,?,995,-2.3,3.8,?,?,?
1326055800,268,13.4,15.9,6.08,10.81,8.31,?,996.7,-1.8,3.8,?,?,?
1326059400,275,12.5,15.9,5.73,11.43,8.11,?,998.4,-1.8,3.8,?,?,?
1326063000,285,13.8,17.9,6.31,12.12,8.62,?,1000.2,-2,3.8,?,?,?
1326066600,291,14.7,18.4,5.8,12.12,8.24,?,1002,-1.8,3.8,?,?,?
1326070200,292,14.7,18.3,6.03,12.12,8.24,?,1004,-1.7,3.8,?,?,?
1326073800,297,15,18.8,5.95,10.81,8.29,?,1005.7,-0.9,3.8,?,?,?
1326077400,293,15.7,19.7,6.19,11.43,8.18,?,1007.5,-0.5,3.8,?,?,?
1326081000,287,16,19.8,6.29,11.43,8.39,?,1008.9,-0.5,3.8,?,?,?
1326084600,277,15.4,19.6,5.59,11.43,7.74,?,1010.1,-0.6,3.8,?,?,?
1326088200,287,14,16.3,6.02,11.43,8.17,?,1010.9,-0.8,3.8,?,?,?
1326091800,284,13.6,16.6,6.29,12.12,8.28,?,1011.6,-0.7,3.8,?,?,?
1326095400,277,14.2,18.8,5.92,11.43,7.84,?,1012.2,-0.2,3.8,?,?,?
1326099000,280,13.7,17.5,5.07,11.43,7.55,?,1013.2,-0.2,3.8,?,?,?
1326102600,283,14.5,18.7,4.82,10,7.1,?,1014.4,-0.5,3.8,?,?,?
1326106200,290,14,16.9,4.87,10,7.28,?,1015.9,-0.2,3.8,?,?,?
1326109800,290,15.2,18.8,4.59,10,6.78,?,1017.3,-0.2,3.8,?,?,?
1326113400,289,14.7,17.9,4.46,10,6.88,?,1018.3,0.2,3.8,?,?,?
1326117000,292,13.4,16.5,4.9,8.33,6.91,?,1019.9,0.1,3.8,?,?,?
1326120600,286,12.7,15.6,4.4,9.09,7.09,?,1020.8,0.1,3.8,?,?,?
1326124200,277,10.2,12.2,3.87,10,6.92,?,1022.2,0.1,3.8,?,?,?
1326127800,282,9.4,12,3.83,9.09,6.79,?,1022.5,0.2,3.8,?,?,?
1326131400,264,7.5,10.7,3.6,10,6.8,?,1023,0.3,3.8,?,?,?
1326135000,257,4.8,6.9,4.18,9.09,7.3,?,1024,0.2,3.8,?,?,?
1326138600,239,6,7.4,3.38,9.09,6.92,?,1025.4,0.6,3.8,?,?,?
1326142200,200,6.5,8,3.37,8.33,6.88,?,1024.9,0.9,3.7,?,?,?
1326145800,187,7.4,9.4,2.83,9.09,6.72,?,1024.5,1.2,3.8,?,?,?
1326149400,173,9.2,11.4,2.84,8.33,6.44,?,1024.1,1.5,3.8,?,?,?
1326153000,168,10.6,13.2,2.64,7.69,6.1,?,1023.5,1.8,3.8,?,?,?
1326156600,158,11.6,13.7,2.67,7.69,5.89,?,1022.5,2,3.8,?,?,?
1326160200,153,13.4,18.1,2.79,9.09,5.73,?,1021.6,2.2,3.8,?,?,?
1326163800,145,14.4,18.2,2.9,5.88,5.66,?,1020.3,1.8,3.8,?,?,?
1326167400,142,15.2,18,3.14,6.67,5.64,?,1019,1.6,3.8,?,?,?
