@relation 'Station 46001_8.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
239,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
236,88820,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87930,?,?,?,?,?,?,?,?,?,?,?,?,?
238,89010,?,?,?,?,?,?,?,?,?,?,?,?,?
238,87510,?,?,?,?,?,?,?,?,?,?,?,?,?
237,87770,?,?,?,?,?,?,?,?,?,?,?,?,?
238,84610,?,?,?,?,?,?,?,?,?,?,?,?,?
237,83720,?,?,?,?,?,?,?,?,?,?,?,?,?
236,84370,?,?,?,?,?,?,?,?,?,?,?,?,?
237,84860,?,?,?,?,?,?,?,?,?,?,?,?,?
239,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
246,88750,?,?,?,?,?,?,?,?,?,?,?,?,?
246,89570,?,?,?,?,?,?,?,?,?,?,?,?,?
242,88850,?,?,?,?,?,?,?,?,?,?,?,?,?
239,91730,?,?,?,?,?,?,?,?,?,?,?,?,?
237,91500,?,?,?,?,?,?,?,?,?,?,?,?,?
239,88880,?,?,?,?,?,?,?,?,?,?,?,?,?
241,88010,?,?,?,?,?,?,?,?,?,?,?,?,?
244,89940,?,?,?,?,?,?,?,?,?,?,?,?,?
244,85010,?,?,?,?,?,?,?,?,?,?,?,?,?
244,86970,?,?,?,?,?,?,?,?,?,?,?,?,?
241,84410,?,?,?,?,?,?,?,?,?,?,?,?,?
240,84580,?,?,?,?,?,?,?,?,?,?,?,?,?
238,88170,?,?,?,?,?,?,?,?,?,?,?,?,?
239,88190,?,?,?,?,?,?,?,?,?,?,?,?,?
239,86800,?,?,?,?,?,?,?,?,?,?,?,?,?
240,91980,?,?,?,?,?,?,?,?,?,?,?,?,?
241,88780,?,?,?,?,?,?,?,?,?,?,?,?,?
243,89390,?,?,?,?,?,?,?,?,?,?,?,?,?
245,86610,?,?,?,?,?,?,?,?,?,?,?,?,?
243,86080,?,?,?,?,?,?,?,?,?,?,?,?,?
241,85000,?,?,?,?,?,?,?,?,?,?,?,?,?
239,87960,?,?,?,?,?,?,?,?,?,?,?,?,?
238,89160,?,?,?,?,?,?,?,?,?,?,?,?,?
238,89160,?,?,?,?,?,?,?,?,?,?,?,?,?
238,90350,?,?,?,?,?,?,?,?,?,?,?,?,?
238,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
