@relation 'Station 46001_1.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
240.547216,-1221575311683339100000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
238.735297,-1135541664917878600000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
239.43201,91454.256206,?,?,?,?,?,?,?,?,?,?,?,?,?
243.843155,-392305547659242900000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244.244734,-1562251365094840200000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
243.465123,-392305547659242900000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244.296467,88854.980809,?,?,?,?,?,?,?,?,?,?,?,?,?
243.153068,88946.600547,?,?,?,?,?,?,?,?,?,?,?,?,?
240.778186,87960.629753,?,?,?,?,?,?,?,?,?,?,?,?,?
240.011797,-392305547659242900000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
242.240088,-8244064320481542000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
249.612761,59750.116516,?,?,?,?,?,?,?,?,?,?,?,?,?
249.543516,-6700384984423791000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
240.713259,88853.663637,?,?,?,?,?,?,?,?,?,?,?,?,?
238.801327,89907.945387,?,?,?,?,?,?,?,?,?,?,?,?,?
240.899275,92968.63911,?,?,?,?,?,?,?,?,?,?,?,?,?
244.269766,90821.997215,?,?,?,?,?,?,?,?,?,?,?,?,?
246.7956,88597.689322,?,?,?,?,?,?,?,?,?,?,?,?,?
248.049521,91093.627282,?,?,?,?,?,?,?,?,?,?,?,?,?
247.181913,87990.370708,?,?,?,?,?,?,?,?,?,?,?,?,?
245.614269,61220.757729,?,?,?,?,?,?,?,?,?,?,?,?,?
245.041754,-437520754949650450000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244.396708,85838.972278,?,?,?,?,?,?,?,?,?,?,?,?,?
244.153781,92239.238776,?,?,?,?,?,?,?,?,?,?,?,?,?
244.30465,90959.520289,?,?,?,?,?,?,?,?,?,?,?,?,?
244.929565,89249.870293,?,?,?,?,?,?,?,?,?,?,?,?,?
245.831019,93519.809146,?,?,?,?,?,?,?,?,?,?,?,?,?
245.882007,91254.700046,?,?,?,?,?,?,?,?,?,?,?,?,?
248.496185,87719.421084,?,?,?,?,?,?,?,?,?,?,?,?,?
250.286534,89947.150729,?,?,?,?,?,?,?,?,?,?,?,?,?
250.020053,90520.340376,?,?,?,?,?,?,?,?,?,?,?,?,?
248.157672,89951.260445,?,?,?,?,?,?,?,?,?,?,?,?,?
245.709833,88918.257746,?,?,?,?,?,?,?,?,?,?,?,?,?
244.079968,92161.669521,?,?,?,?,?,?,?,?,?,?,?,?,?
244.541029,90940.095048,?,?,?,?,?,?,?,?,?,?,?,?,?
242.880166,91283.08933,?,?,?,?,?,?,?,?,?,?,?,?,?
242.789763,-1543679336057750000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
243.850986,-6700384984423791000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244.843658,-1948979305461346400000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
245.098638,-864230455126612300000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
246.022104,-824248695316156500000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
251.614517,-437520754949650450000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
243.574393,-437520754949650450000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
234.585893,89685.429752,?,?,?,?,?,?,?,?,?,?,?,?,?
235.709868,-813437640543467900000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244.779049,-1169945817435597500000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
249.785764,-864230455126612300000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
248.016632,-6689573929651103000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
245.891212,-1135541664917878600000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
243.934612,-800443218799114200000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
242.318854,-408137671139871300000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
241.767351,-1319845678501731000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
237.836917,-1712151226160974000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
235.849369,-392305547659242900000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
234.857614,93301.152745,?,?,?,?,?,?,?,?,?,?,?,?,?
233.131258,88627.589415,?,?,?,?,?,?,?,?,?,?,?,?,?
232.969644,87399.341808,?,?,?,?,?,?,?,?,?,?,?,?,?
233.177806,86242.785916,?,?,?,?,?,?,?,?,?,?,?,?,?
234.213348,86922.377846,?,?,?,?,?,?,?,?,?,?,?,?,?
234.06725,87374.208933,?,?,?,?,?,?,?,?,?,?,?,?,?
239.703579,86576.858119,?,?,?,?,?,?,?,?,?,?,?,?,?
233.477607,88397.188216,?,?,?,?,?,?,?,?,?,?,?,?,?
234.184339,-1543679336057750000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
235.083834,86627.669088,?,?,?,?,?,?,?,?,?,?,?,?,?
233.754787,-392305547659242900000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
232.171114,83761.16711,?,?,?,?,?,?,?,?,?,?,?,?,?
233.085697,86441.657057,?,?,?,?,?,?,?,?,?,?,?,?,?
234.102088,85344.061365,?,?,?,?,?,?,?,?,?,?,?,?,?
237.792766,-1169945817435597500000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
245.88557,-1948979305461346400000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
250.58646,-8725364994746406000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
238.408502,83291.6109,?,?,?,?,?,?,?,?,?,?,?,?,?
234.941107,96060.053994,?,?,?,?,?,?,?,?,?,?,?,?,?
234.84891,92401.364183,?,?,?,?,?,?,?,?,?,?,?,?,?
236.037628,89845.360128,?,?,?,?,?,?,?,?,?,?,?,?,?
