@relation 'Station 46001_6.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
237,88170,?,?,?,?,?,?,?,?,?,?,?,?,?
237,93890,?,?,?,?,?,?,?,?,?,?,?,?,?
237,92170,?,?,?,?,?,?,?,?,?,?,?,?,?
240,92610,?,?,?,?,?,?,?,?,?,?,?,?,?
242,88900,?,?,?,?,?,?,?,?,?,?,?,?,?
241,90230,?,?,?,?,?,?,?,?,?,?,?,?,?
241,89280,?,?,?,?,?,?,?,?,?,?,?,?,?
241,89280,?,?,?,?,?,?,?,?,?,?,?,?,?
240,88200,?,?,?,?,?,?,?,?,?,?,?,?,?
239,87850,?,?,?,?,?,?,?,?,?,?,?,?,?
241,87740,?,?,?,?,?,?,?,?,?,?,?,?,?
242,89740,?,?,?,?,?,?,?,?,?,?,?,?,?
245,90370,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91070,?,?,?,?,?,?,?,?,?,?,?,?,?
240,89780,?,?,?,?,?,?,?,?,?,?,?,?,?
238,93370,?,?,?,?,?,?,?,?,?,?,?,?,?
240,91170,?,?,?,?,?,?,?,?,?,?,?,?,?
241,88760,?,?,?,?,?,?,?,?,?,?,?,?,?
243,91340,?,?,?,?,?,?,?,?,?,?,?,?,?
243,88350,?,?,?,?,?,?,?,?,?,?,?,?,?
244,90520,?,?,?,?,?,?,?,?,?,?,?,?,?
243,86310,?,?,?,?,?,?,?,?,?,?,?,?,?
243,85920,?,?,?,?,?,?,?,?,?,?,?,?,?
241,93040,?,?,?,?,?,?,?,?,?,?,?,?,?
241,91520,?,?,?,?,?,?,?,?,?,?,?,?,?
240,89300,?,?,?,?,?,?,?,?,?,?,?,?,?
242,93830,?,?,?,?,?,?,?,?,?,?,?,?,?
241,91390,?,?,?,?,?,?,?,?,?,?,?,?,?
243,93370,?,?,?,?,?,?,?,?,?,?,?,?,?
244,90330,?,?,?,?,?,?,?,?,?,?,?,?,?
244,91220,?,?,?,?,?,?,?,?,?,?,?,?,?
242,90690,?,?,?,?,?,?,?,?,?,?,?,?,?
240,89000,?,?,?,?,?,?,?,?,?,?,?,?,?
239,92570,?,?,?,?,?,?,?,?,?,?,?,?,?
239,91110,?,?,?,?,?,?,?,?,?,?,?,?,?
242,91340,?,?,?,?,?,?,?,?,?,?,?,?,?
242,89080,?,?,?,?,?,?,?,?,?,?,?,?,?
242,90780,?,?,?,?,?,?,?,?,?,?,?,?,?
242,87720,?,?,?,?,?,?,?,?,?,?,?,?,?
243,91230,?,?,?,?,?,?,?,?,?,?,?,?,?
242,88500,?,?,?,?,?,?,?,?,?,?,?,?,?
241,96060,?,?,?,?,?,?,?,?,?,?,?,?,?
244,94240,?,?,?,?,?,?,?,?,?,?,?,?,?
238,90550,?,?,?,?,?,?,?,?,?,?,?,?,?
233,86690,?,?,?,?,?,?,?,?,?,?,?,?,?
237,86450,?,?,?,?,?,?,?,?,?,?,?,?,?
244,95070,?,?,?,?,?,?,?,?,?,?,?,?,?
244,93980,?,?,?,?,?,?,?,?,?,?,?,?,?
243,94220,?,?,?,?,?,?,?,?,?,?,?,?,?
243,94460,?,?,?,?,?,?,?,?,?,?,?,?,?
242,95770,?,?,?,?,?,?,?,?,?,?,?,?,?
243,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
240,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
236,91140,?,?,?,?,?,?,?,?,?,?,?,?,?
235,94020,?,?,?,?,?,?,?,?,?,?,?,?,?
233,88900,?,?,?,?,?,?,?,?,?,?,?,?,?
232,87590,?,?,?,?,?,?,?,?,?,?,?,?,?
232,86470,?,?,?,?,?,?,?,?,?,?,?,?,?
233,87300,?,?,?,?,?,?,?,?,?,?,?,?,?
232,87530,?,?,?,?,?,?,?,?,?,?,?,?,?
