@relation 'Station 46001_X150.214.94.234.71.3.28.48_3.arff'

@attribute pres numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WDIR numeric

@data
102330,0.531707,0.452632,0.128942,0.303495,0.184379,?,0.603381,0.241206,0.138889,?,?,?,0.02507
102040,0.692683,0.614035,0.202226,0.215205,0.211268,?,0.542263,0.331658,0.138889,?,?,?,0.013928
101420,0.809756,0.719298,0.397032,0.303495,0.400768,?,0.46814,0.296482,0.138889,?,?,?,0.980501
100750,0.814634,0.722807,0.48423,0.342735,0.519846,?,0.382315,0.321608,0.138889,?,?,?,0.952646
100180,0.741463,0.649123,0.487941,0.445126,0.53137,?,0.343303,0.311558,0.138889,?,?,?,0.86351
100060,0.639024,0.575439,0.408163,0.445126,0.481434,?,0.387516,0.341709,0.138889,?,?,?,0.799443
100220,0.536585,0.487719,0.32282,0.389332,0.441741,?,0.43303,0.417085,0.138889,?,?,?,0.779944
100650,0.463415,0.417544,0.334879,0.677498,0.556978,?,0.473342,0.427136,0.138889,?,?,?,0.710306
101020,0.22439,0.22807,0.306122,0.740037,0.541613,?,0.496749,0.427136,0.138889,?,?,?,0.746518
101020,0.263415,0.249123,0.25603,0.622931,0.727273,?,0.477243,0.437186,0.12963,?,?,?,0.220056
100730,0.502439,0.435088,0.202226,0.622931,0.387964,?,0.413524,0.492462,0.12963,?,?,?,0.203343
100270,0.609756,0.529825,0.2718,0.575107,0.377721,?,0.3342,0.502513,0.12963,?,?,?,0.150418
100050,0.585366,0.501754,0.329314,0.494788,0.413572,?,0.288687,0.482412,0.138889,?,?,?,0.091922
99800,0.531707,0.470175,0.297774,0.494788,0.400768,?,0.273082,0.442211,0.12963,?,?,?,0.089136
