@relation 'Station 46001_3.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
241,85030,?,?,?,?,?,?,?,?,?,?,?,?,?
239,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
240,87930,?,?,?,?,?,?,?,?,?,?,?,?,?
244,89010,?,?,?,?,?,?,?,?,?,?,?,?,?
244,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244,87770,?,?,?,?,?,?,?,?,?,?,?,?,?
245,84610,?,?,?,?,?,?,?,?,?,?,?,?,?
243,83720,?,?,?,?,?,?,?,?,?,?,?,?,?
241,84370,?,?,?,?,?,?,?,?,?,?,?,?,?
241,84860,?,?,?,?,?,?,?,?,?,?,?,?,?
244,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
253,88750,?,?,?,?,?,?,?,?,?,?,?,?,?
249,89570,?,?,?,?,?,?,?,?,?,?,?,?,?
238,88850,?,?,?,?,?,?,?,?,?,?,?,?,?
239,91730,?,?,?,?,?,?,?,?,?,?,?,?,?
241,91500,?,?,?,?,?,?,?,?,?,?,?,?,?
244,88880,?,?,?,?,?,?,?,?,?,?,?,?,?
247,88010,?,?,?,?,?,?,?,?,?,?,?,?,?
249,89940,?,?,?,?,?,?,?,?,?,?,?,?,?
248,85010,?,?,?,?,?,?,?,?,?,?,?,?,?
246,86970,?,?,?,?,?,?,?,?,?,?,?,?,?
244,84410,?,?,?,?,?,?,?,?,?,?,?,?,?
243,84580,?,?,?,?,?,?,?,?,?,?,?,?,?
244,88170,?,?,?,?,?,?,?,?,?,?,?,?,?
245,88190,?,?,?,?,?,?,?,?,?,?,?,?,?
247,86800,?,?,?,?,?,?,?,?,?,?,?,?,?
247,91980,?,?,?,?,?,?,?,?,?,?,?,?,?
248,88780,?,?,?,?,?,?,?,?,?,?,?,?,?
251,45310,?,?,?,?,?,?,?,?,?,?,?,?,?
253,86610,?,?,?,?,?,?,?,?,?,?,?,?,?
251,86080,?,?,?,?,?,?,?,?,?,?,?,?,?
248,85000,?,?,?,?,?,?,?,?,?,?,?,?,?
246,87960,?,?,?,?,?,?,?,?,?,?,?,?,?
245,89160,?,?,?,?,?,?,?,?,?,?,?,?,?
244,89160,?,?,?,?,?,?,?,?,?,?,?,?,?
242,90350,?,?,?,?,?,?,?,?,?,?,?,?,?
242,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244,44490,?,?,?,?,?,?,?,?,?,?,?,?,?
245,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
245,45560,?,?,?,?,?,?,?,?,?,?,?,?,?
248,87800,?,?,?,?,?,?,?,?,?,?,?,?,?
257,93430,?,?,?,?,?,?,?,?,?,?,?,?,?
241,92240,?,?,?,?,?,?,?,?,?,?,?,?,?
233,86300,?,?,?,?,?,?,?,?,?,?,?,?,?
236,85810,?,?,?,?,?,?,?,?,?,?,?,?,?
244,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
247,92450,?,?,?,?,?,?,?,?,?,?,?,?,?
245,45880,?,?,?,?,?,?,?,?,?,?,?,?,?
245,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
243,47870,?,?,?,?,?,?,?,?,?,?,?,?,?
241,93290,?,?,?,?,?,?,?,?,?,?,?,?,?
239,95660,?,?,?,?,?,?,?,?,?,?,?,?,?
236,90570,?,?,?,?,?,?,?,?,?,?,?,?,?
235,45020,?,?,?,?,?,?,?,?,?,?,?,?,?
234,90040,?,?,?,?,?,?,?,?,?,?,?,?,?
233,86830,?,?,?,?,?,?,?,?,?,?,?,?,?
232,86650,?,?,?,?,?,?,?,?,?,?,?,?,?
232,85570,?,?,?,?,?,?,?,?,?,?,?,?,?
234,86900,?,?,?,?,?,?,?,?,?,?,?,?,?
234,86610,?,?,?,?,?,?,?,?,?,?,?,?,?
240,87780,?,?,?,?,?,?,?,?,?,?,?,?,?
233,87740,?,?,?,?,?,?,?,?,?,?,?,?,?
235,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
235,86710,?,?,?,?,?,?,?,?,?,?,?,?,?
233,87380,?,?,?,?,?,?,?,?,?,?,?,?,?
232,83450,?,?,?,?,?,?,?,?,?,?,?,?,?
233,85600,?,?,?,?,?,?,?,?,?,?,?,?,?
235,82730,?,?,?,?,?,?,?,?,?,?,?,?,?
239,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
249,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
246,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
235,94900,?,?,?,?,?,?,?,?,?,?,?,?,?
233,93100,?,?,?,?,?,?,?,?,?,?,?,?,?
233,87770,?,?,?,?,?,?,?,?,?,?,?,?,?
236,86250,?,?,?,?,?,?,?,?,?,?,?,?,?
235,85760,?,?,?,?,?,?,?,?,?,?,?,?,?
237,85090,?,?,?,?,?,?,?,?,?,?,?,?,?
242,84240,?,?,?,?,?,?,?,?,?,?,?,?,?
239,83480,?,?,?,?,?,?,?,?,?,?,?,?,?
237,81120,?,?,?,?,?,?,?,?,?,?,?,?,?
239,85710,?,?,?,?,?,?,?,?,?,?,?,?,?
240,84670,?,?,?,?,?,?,?,?,?,?,?,?,?
239,80960,?,?,?,?,?,?,?,?,?,?,?,?,?
238,86080,?,?,?,?,?,?,?,?,?,?,?,?,?
237,83550,?,?,?,?,?,?,?,?,?,?,?,?,?
239,84660,?,?,?,?,?,?,?,?,?,?,?,?,?
238,87960,?,?,?,?,?,?,?,?,?,?,?,?,?
239,86410,?,?,?,?,?,?,?,?,?,?,?,?,?
238,88180,?,?,?,?,?,?,?,?,?,?,?,?,?
239,91080,?,?,?,?,?,?,?,?,?,?,?,?,?
244,93910,?,?,?,?,?,?,?,?,?,?,?,?,?
253,48580,?,?,?,?,?,?,?,?,?,?,?,?,?
248,96240,?,?,?,?,?,?,?,?,?,?,?,?,?
256,97080,?,?,?,?,?,?,?,?,?,?,?,?,?
244,92040,?,?,?,?,?,?,?,?,?,?,?,?,?
237,89250,?,?,?,?,?,?,?,?,?,?,?,?,?
236,86670,?,?,?,?,?,?,?,?,?,?,?,?,?
237,86570,?,?,?,?,?,?,?,?,?,?,?,?,?
242,89270,?,?,?,?,?,?,?,?,?,?,?,?,?
237,86530,?,?,?,?,?,?,?,?,?,?,?,?,?
238,85650,?,?,?,?,?,?,?,?,?,?,?,?,?
245,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
240,92240,?,?,?,?,?,?,?,?,?,?,?,?,?
237,91080,?,?,?,?,?,?,?,?,?,?,?,?,?
241,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
242,88610,?,?,?,?,?,?,?,?,?,?,?,?,?
240,90880,?,?,?,?,?,?,?,?,?,?,?,?,?
241,84430,?,?,?,?,?,?,?,?,?,?,?,?,?
248,88860,?,?,?,?,?,?,?,?,?,?,?,?,?
254,89690,?,?,?,?,?,?,?,?,?,?,?,?,?
255,89110,?,?,?,?,?,?,?,?,?,?,?,?,?
251,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
247,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
249,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
248,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
245,40670,?,?,?,?,?,?,?,?,?,?,?,?,?
242,41510,?,?,?,?,?,?,?,?,?,?,?,?,?
238,86100,?,?,?,?,?,?,?,?,?,?,?,?,?
237,86040,?,?,?,?,?,?,?,?,?,?,?,?,?
240,90640,?,?,?,?,?,?,?,?,?,?,?,?,?
244,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
249,46530,?,?,?,?,?,?,?,?,?,?,?,?,?
243,96460,?,?,?,?,?,?,?,?,?,?,?,?,?
237,91470,?,?,?,?,?,?,?,?,?,?,?,?,?
236,88640,?,?,?,?,?,?,?,?,?,?,?,?,?
244,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
238,88000,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87590,?,?,?,?,?,?,?,?,?,?,?,?,?
238,87420,?,?,?,?,?,?,?,?,?,?,?,?,?
237,85200,?,?,?,?,?,?,?,?,?,?,?,?,?
243,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
263,49370,?,?,?,?,?,?,?,?,?,?,?,?,?
260,98580,?,?,?,?,?,?,?,?,?,?,?,?,?
251,99090,?,?,?,?,?,?,?,?,?,?,?,?,?
245,99190,?,?,?,?,?,?,?,?,?,?,?,?,?
242,99210,?,?,?,?,?,?,?,?,?,?,?,?,?
240,99050,?,?,?,?,?,?,?,?,?,?,?,?,?
239,97810,?,?,?,?,?,?,?,?,?,?,?,?,?
239,98050,?,?,?,?,?,?,?,?,?,?,?,?,?
239,97770,?,?,?,?,?,?,?,?,?,?,?,?,?
237,96710,?,?,?,?,?,?,?,?,?,?,?,?,?
235,91370,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87710,?,?,?,?,?,?,?,?,?,?,?,?,?
243,87970,?,?,?,?,?,?,?,?,?,?,?,?,?
254,87290,?,?,?,?,?,?,?,?,?,?,?,?,?
256,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
254,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
256,46250,?,?,?,?,?,?,?,?,?,?,?,?,?
256,48270,?,?,?,?,?,?,?,?,?,?,?,?,?
252,96540,?,?,?,?,?,?,?,?,?,?,?,?,?
251,96660,?,?,?,?,?,?,?,?,?,?,?,?,?
252,96780,?,?,?,?,?,?,?,?,?,?,?,?,?
251,96710,?,?,?,?,?,?,?,?,?,?,?,?,?
250,96870,?,?,?,?,?,?,?,?,?,?,?,?,?
249,96950,?,?,?,?,?,?,?,?,?,?,?,?,?
250,97160,?,?,?,?,?,?,?,?,?,?,?,?,?
250,97380,?,?,?,?,?,?,?,?,?,?,?,?,?
249,97560,?,?,?,?,?,?,?,?,?,?,?,?,?
248,97790,?,?,?,?,?,?,?,?,?,?,?,?,?
248,97910,?,?,?,?,?,?,?,?,?,?,?,?,?
246,97960,?,?,?,?,?,?,?,?,?,?,?,?,?
244,97770,?,?,?,?,?,?,?,?,?,?,?,?,?
241,97330,?,?,?,?,?,?,?,?,?,?,?,?,?
240,92290,?,?,?,?,?,?,?,?,?,?,?,?,?
239,91800,?,?,?,?,?,?,?,?,?,?,?,?,?
239,88970,?,?,?,?,?,?,?,?,?,?,?,?,?
239,85000,?,?,?,?,?,?,?,?,?,?,?,?,?
