#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 03 02 50 999 99.0 99.0  2.14  7.14  5.95 999 1021.8 999.0   6.6 999.0 99.0 99.00
2015 01 03 03 50 999 99.0 99.0  2.31  7.69  6.15 999 1021.8 999.0   6.5 999.0 99.0 99.00
2015 01 03 04 50 999 99.0 99.0  1.84  7.14  5.49 999 1022.1 999.0   6.5 999.0 99.0 99.00
2015 01 03 05 50 999 99.0 99.0  1.93  7.69  5.68 999 1022.3 999.0   6.5 999.0 99.0 99.00
2015 01 03 06 50 999 99.0 99.0  1.98  7.69  5.92 999 1022.1 999.0   6.5 999.0 99.0 99.00
2015 01 03 07 50 999 99.0 99.0  1.99  7.14  5.80 999 1022.0 999.0   6.5 999.0 99.0 99.00
2015 01 03 08 50 999 99.0 99.0  1.79  6.25  6.00 999 1021.6 999.0   6.6 999.0 99.0 99.00
2015 01 03 09 50 999 99.0 99.0  1.88  6.67  6.02 999 1021.6 999.0   6.6 999.0 99.0 99.00
2015 01 03 10 50 999 99.0 99.0  1.86 14.81  6.26 999 1021.5 999.0   6.6 999.0 99.0 99.00
2015 01 03 11 50 999 99.0 99.0  1.91 13.79  6.63 999 1021.3 999.0   6.6 999.0 99.0 99.00
2015 01 03 12 50 999 99.0 99.0  1.73 11.43  6.45 999 1021.3 999.0   6.6 999.0 99.0 99.00
2015 01 03 13 50 999 99.0 99.0  1.67 12.90  6.09 999 1020.7 999.0   6.6 999.0 99.0 99.00
2015 01 03 14 50 999 99.0 99.0  1.63 10.81  5.49 999 1020.5 999.0   6.6 999.0 99.0 99.00
2015 01 03 15 50 999 99.0 99.0  1.61 12.12  5.70 999 1020.5 999.0   6.6 999.0 99.0 99.00
2015 01 03 16 50 999 99.0 99.0  1.45 10.00  5.53 999 1020.3 999.0   6.6 999.0 99.0 99.00
2015 01 03 17 50 999 99.0 99.0  1.43  9.09  5.50 999 1020.2 999.0   6.6 999.0 99.0 99.00
2015 01 03 18 50 999 99.0 99.0  1.53 13.79  5.65 999 1020.3 999.0   6.6 999.0 99.0 99.00
2015 01 03 19 50 999 99.0 99.0  1.49 11.43  5.83 999 1020.3 999.0   6.6 999.0 99.0 99.00
2015 01 03 20 50 999 99.0 99.0  1.80 10.00  6.32 999 1020.2 999.0   6.6 999.0 99.0 99.00
2015 01 03 21 50 999 99.0 99.0  1.82 10.00  5.99 999 1020.0 999.0   6.6 999.0 99.0 99.00
2015 01 03 22 50 999 99.0 99.0  2.05  9.09  5.45 999 1020.2 999.0   6.6 999.0 99.0 99.00
2015 01 03 23 50 999 99.0 99.0  2.49  9.09  5.66 999 1020.5 999.0   6.6 999.0 99.0 99.00
2015 01 04 00 50 999 99.0 99.0  3.10  9.09  6.02 999 1021.3 999.0   6.5 999.0 99.0 99.00
2015 01 04 01 50 999 99.0 99.0  3.37  9.09  6.37 999 1021.6 999.0   6.5 999.0 99.0 99.00
2015 01 04 02 50 999 99.0 99.0  3.53  9.09  6.35 999 1022.1 999.0   6.5 999.0 99.0 99.00
2015 01 04 03 50 999 99.0 99.0  3.56  9.09  6.34 999 1022.2 999.0   6.5 999.0 99.0 99.00
2015 01 04 04 50 999 99.0 99.0 99.00 99.00 99.00 999 1022.7 999.0   6.5 999.0 99.0 99.00
2015 01 04 05 50 999 99.0 99.0  3.44 10.81  6.45 999 1022.9 999.0   6.6 999.0 99.0 99.00
2015 01 04 06 50 999 99.0 99.0 99.00 99.00 99.00 999 1023.3 999.0   6.6 999.0 99.0 99.00
2015 01 04 07 50 999 99.0 99.0  3.81 10.81  6.96 999 1023.3 999.0   6.6 999.0 99.0 99.00
2015 01 04 08 50 999 99.0 99.0  3.58  9.09  6.55 999 1023.1 999.0   6.6 999.0 99.0 99.00
2015 01 04 09 50 999 99.0 99.0  3.70 10.00  6.79 999 1022.9 999.0   6.6 999.0 99.0 99.00
2015 01 04 10 50 999 99.0 99.0  3.38 10.00  6.44 999 1022.9 999.0   6.6 999.0 99.0 99.00
2015 01 04 11 50 999 99.0 99.0  3.35 10.00  6.81 999 1022.8 999.0   6.6 999.0 99.0 99.00
2015 01 04 12 50 999 99.0 99.0  3.39  9.09  6.51 999 1023.3 999.0   6.6 999.0 99.0 99.00
2015 01 04 13 50 999 99.0 99.0  2.80  9.09  5.84 999 1023.1 999.0   6.6 999.0 99.0 99.00
2015 01 04 14 50 999 99.0 99.0  3.03  9.09  6.30 999 1023.1 999.0   6.6 999.0 99.0 99.00
2015 01 04 15 50 999 99.0 99.0  3.17 10.00  6.38 999 1022.9 999.0   6.6 999.0 99.0 99.00
2015 01 04 16 50 999 99.0 99.0  3.10  9.09  6.63 999 1022.5 999.0   6.6 999.0 99.0 99.00
2015 01 04 17 50 999 99.0 99.0  3.03 10.00  6.85 999 1022.2 999.0   6.6 999.0 99.0 99.00
2015 01 04 18 50 999 99.0 99.0  2.95 10.00  6.73 999 1022.0 999.0   6.6 999.0 99.0 99.00
2015 01 04 19 50 999 99.0 99.0  3.07  9.09  6.80 999 1021.5 999.0   6.6 999.0 99.0 99.00
2015 01 04 20 50 999 99.0 99.0  3.02 10.81  7.06 999 1021.4 999.0   6.6 999.0 99.0 99.00
2015 01 04 21 50 999 99.0 99.0  2.64 10.81  6.57 999 1021.0 999.0   6.6 999.0 99.0 99.00
2015 01 04 22 50 999 99.0 99.0  2.94  9.09  7.14 999 1020.4 999.0   6.5 999.0 99.0 99.00
2015 01 04 23 50 999 99.0 99.0  2.72 10.81  6.52 999 1020.1 999.0   6.5 999.0 99.0 99.00
2015 01 05 00 50 999 99.0 99.0  2.82 10.81  6.79 999 1020.1 999.0   6.5 999.0 99.0 99.00
2015 01 05 01 50 999 99.0 99.0  3.07 10.00  7.10 999 1019.9 999.0   6.5 999.0 99.0 99.00
2015 01 05 02 50 999 99.0 99.0  3.03 10.81  7.16 999 1019.4 999.0   6.5 999.0 99.0 99.00
2015 01 05 03 50 999 99.0 99.0  3.04 11.43  7.42 999 1019.3 999.0   6.4 999.0 99.0 99.00
2015 01 05 04 50 999 99.0 99.0  3.04 11.43  7.57 999 1018.9 999.0   6.5 999.0 99.0 99.00
2015 01 05 05 50 999 99.0 99.0  3.07 10.81  7.68 999 1018.7 999.0   6.6 999.0 99.0 99.00
2015 01 05 06 50 999 99.0 99.0  3.05 10.81  7.83 999 1018.5 999.0   6.6 999.0 99.0 99.00
