#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2013 01 03 04 50 152 14.2 17.0  4.22 10.81  6.81 999  995.8   4.3   4.5 999.0 99.0 99.00
2013 01 03 05 50 156 12.1 14.7  4.24 10.00  6.86 999  996.0   4.4   4.5 999.0 99.0 99.00
2013 01 03 06 50 164 12.7 15.4  4.11 10.00  6.82 999  996.3   4.4   4.5 999.0 99.0 99.00
2013 01 03 07 50 195  5.6  7.0  4.04 11.43  6.91 999  996.5   3.4   4.5 999.0 99.0 99.00
2013 01 03 08 50 153  4.5  6.3  3.65 10.81  6.97 999  996.6   3.3   4.5 999.0 99.0 99.00
2013 01 03 09 50 179  3.7  5.2  3.92 10.81  7.50 999  996.3   2.8   4.5 999.0 99.0 99.00
2013 01 03 10 50 177  3.3  4.3  3.78 10.81  7.31 999  996.1   3.1   4.5 999.0 99.0 99.00
2013 01 03 11 50 178  3.6  4.8  3.32  9.09  7.16 999  996.0   3.2   4.5 999.0 99.0 99.00
2013 01 03 12 50 202  4.3  5.9  4.02 10.81  7.67 999  996.2   3.3   4.5 999.0 99.0 99.00
2013 01 03 13 50 199  4.3  5.8  3.91 10.00  7.80 999  996.2   3.6   4.4 999.0 99.0 99.00
2013 01 03 14 50 194  4.6  5.9  3.88 10.00  7.54 999  996.2   3.8   4.4 999.0 99.0 99.00
2013 01 03 15 50 172  3.5  4.5  3.95 10.81  7.65 999  996.4   3.8   4.4 999.0 99.0 99.00
2013 01 03 16 50 161  3.8  5.0  4.23 10.81  7.74 999  996.7   3.8   4.4 999.0 99.0 99.00
2013 01 03 17 50 161  5.0  6.6  4.21 10.00  7.63 999  997.1   3.7   4.4 999.0 99.0 99.00
2013 01 03 18 50 166  5.3  6.7  3.73 10.00  7.36 999  997.8   3.9   4.4 999.0 99.0 99.00
2013 01 03 19 50 176  5.7  7.0  3.96 10.00  7.81 999  998.4   3.8   4.5 999.0 99.0 99.00
2013 01 03 20 50 170  4.9  6.6  4.39 10.00  8.22 999  998.4   3.9   4.5 999.0 99.0 99.00
2013 01 03 21 50 181  4.8  6.5  4.24 10.81  8.32 999  998.2   3.8   4.5 999.0 99.0 99.00
2013 01 03 22 50 184  4.6  6.0  4.21 10.81  8.36 999  998.3   3.8   4.5 999.0 99.0 99.00
2013 01 03 23 50 181  4.4  5.5  3.87 10.81  8.08 999  998.5   3.9   4.5 999.0 99.0 99.00
2013 01 04 00 50 188  4.6  5.9  3.98 12.12  8.27 999  998.7   3.9   4.5 999.0 99.0 99.00
2013 01 04 01 50 189  6.2  8.0  4.23 10.81  8.47 999  998.8   3.5   4.4 999.0 99.0 99.00
2013 01 04 02 50 230  6.9  8.5  4.21 10.81  8.24 999  999.4   2.9   4.5 999.0 99.0 99.00
2013 01 04 03 50 216  4.3  5.9  3.80 10.00  8.00 999 1000.1   3.3   4.5 999.0 99.0 99.00
2013 01 04 04 50 219  5.6  6.8  3.72 10.81  7.98 999 1000.7   3.8   4.6 999.0 99.0 99.00
