@relation Station_46001_2018_03_05_13_56_1.arff

@attribute air numeric
@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute Class_WDIR {A}

@data
275.422366,100388.896864,15.36224,-2.100314,A
275.779401,100667.142159,12.939674,1.017461,A
276.203954,100227.251943,2.665,8.199623,A
276.174223,99528.003593,5.441127,11.4493,A
276.149743,99818.157054,13.335917,11.491987,A
276.303987,99932.160933,9.033421,10.173369,A
276.040066,100133.910131,9.03718,8.24671,A
276.463402,100057.176914,0.390242,11.48521,A
276.717954,99715.849466,1.381709,9.759531,A
276.971196,100089.857734,7.244172,1.691375,A
276.713421,100724.181908,8.011505,2.023003,A
276.204252,100771.561343,0.128068,4.766521,A
276.105113,100008.968257,-11.157509,6.572238,A
276.126965,98944.872968,-15.663169,4.360677,A
276.735827,98411.800053,-12.436969,1.756881,A
276.550781,98569.72293,-6.9374,-0.871843,A
276.82112,98818.721661,-2.331902,-1.664917,A
276.559053,98971.436493,2.306597,-0.550885,A
276.269688,98893.966781,1.747671,1.636462,A
275.681281,98826.52251,4.081591,3.121214,A
274.965832,99174.175589,5.199219,6.26224,A
275.602017,99430.044008,1.349542,6.12128,A
275.675372,99382.886346,0.071781,1.905214,A
275.774022,99402.54465,1.454711,-1.749455,A
276.525335,99402.936427,4.368608,-4.763452,A
276.887188,99658.13963,7.704536,-2.057783,A
276.645738,100138.695293,4.556631,1.562846,A
276.676386,100562.448411,3.022845,3.159704,A
275.518975,100969.412648,2.375999,0.943445,A
276.166895,101352.473852,3.67708,-1.294454,A
276.264302,101646.586262,4.358982,-1.246053,A
275.601123,101783.595855,4.171043,-0.355734,A
275.902931,101865.262187,1.263589,2.675198,A
275.773277,101765.478617,-3.433997,6.557687,A
276.852027,101485.144158,-10.320146,7.102853,A
276.787785,101311.807639,-11.444978,7.320584,A
277.724762,101482.613001,-10.377264,6.830186,A
277.508338,102014.309113,-9.075657,5.494836,A
277.795714,102460.92289,-8.665322,2.652992,A
277.026866,102900.540003,-9.917614,2.535135,A
277.828173,103163.883141,-7.955567,2.769778,A
277.607065,103217.924512,-5.714271,2.932227,A
277.237183,103098.558993,-5.077731,3.527525,A
276.700292,102944.50279,-1.17836,4.030446,A
276.25863,102643.87001,-1.093925,3.83997,A
276.195548,102472.633333,0.078897,6.64112,A
276.634999,102161.753917,0.690119,8.094369,A
276.816702,102029.3041,1.022606,8.962035,A
277.052481,101897.269897,1.111156,8.481821,A
276.139876,101773.586657,0.201025,9.579476,A
276.796321,101388.03483,-7.380898,9.890086,A
276.418347,100686.491946,-13.664176,12.225929,A
277.417502,99971.318455,-14.245101,13.752546,A
277.61542,100008.055277,-1.944301,12.849826,A
277.494887,100415.501635,-1.7918,9.833821,A
277.247816,100601.650393,0.726297,8.659233,A
277.263161,100735.158036,3.140675,9.882822,A
276.816429,101052.609168,3.906953,10.639992,A
277.065886,101420.302462,3.046743,10.951324,A
275.980396,101578.50099,3.568253,8.282773,A
276.232623,101798.801504,4.64149,7.087278,A
276.357,102087.095826,7.068851,2.105081,A
275.852062,102606.032359,8.530214,-1.293958,A
275.654639,102955.647085,9.194935,-2.401077,A
275.923243,103066.801246,9.345838,2.855012,A
276.421456,102634.003113,10.7557,4.131406,A
276.136156,102572.302537,9.355481,-4.302821,A
275.826069,102571.456476,9.818391,-6.205774,A
276.261691,102460.464974,6.00211,-8.370171,A
276.699034,102397.545181,4.114242,-9.918181,A
276.618266,102270.63488,2.639216,-10.065019,A
276.951586,102045.07397,1.878465,-9.604628,A
276.26565,101868.176114,0.298095,-7.372423,A
277.037215,101752.427162,0.118776,-7.148107,A
276.023027,101610.384253,-0.174006,-4.97113,A
276.645804,101489.497736,0.289233,-3.784778,A
275.85679,101288.823282,0.535125,-2.804583,A
276.475845,101033.944798,1.283584,-1.202035,A
275.289306,100842.016747,-0.80798,-0.092874,A
274.595812,100732.870538,-1.30073,3.392324,A
274.610573,100769.609773,-2.774122,3.78603,A
275.593118,100745.594027,-4.242455,2.099688,A
275.307495,100742.853619,-0.821493,3.179937,A
275.523825,100818.646574,2.988084,0.987939,A
275.931574,100835.741661,5.38396,-0.469977,A
275.377873,101062.014468,8.061117,-0.708512,A
274.98966,101402.84472,7.320981,-1.393974,A
274.221797,101630.186578,6.719353,1.212404,A
274.572814,101821.134945,3.204089,0.825734,A
274.997554,102031.625888,2.87083,0.181432,A
275.439229,102269.107119,4.353541,-2.357261,A
275.586308,102501.598611,6.400126,-5.203829,A
274.949212,102647.41982,8.319289,-4.825585,A
275.190596,102612.574305,8.794722,-2.289283,A
275.220685,102503.474485,8.940233,-1.80346,A
275.359099,102220.387173,9.224235,0.357767,A
274.676544,101914.255092,7.970654,-0.88685,A
274.812901,101734.624074,9.778289,-5.519006,A
274.435604,101547.927682,7.309512,-5.833737,A
274.774765,101481.043248,8.437568,-5.415995,A
274.134988,101371.882448,8.312148,-5.154166,A
274.409433,101363.728367,9.162005,-7.889982,A
273.919066,101354.344469,6.384035,-8.17465,A
273.615604,101382.911778,10.268772,-7.527202,A
273.000817,101443.795909,10.03047,-7.991609,A
274.05181,101835.547493,11.754061,-8.82217,A
274.773527,102080.297697,9.665394,-6.491431,A
275.080062,102378.628486,9.685154,-3.7401,A
274.164869,102653.929338,6.867402,-4.319062,A
275.114788,102949.554726,3.87528,1.320975,A
275.627857,102815.386293,-0.748138,6.042911,A
275.973957,102589.285721,-2.185883,8.274607,A
276.249888,102128.237086,-3.9445,8.748595,A
276.197552,101925.337574,-3.702834,7.201728,A
276.507188,101681.541428,-0.947373,4.720537,A
277.006487,101558.188174,2.43221,1.918368,A
276.397965,101499.784201,3.883936,-1.068246,A
276.583681,101411.954898,2.344689,-0.666197,A
276.297145,101098.671706,-0.437238,3.792111,A
276.24969,100735.962807,0.038595,5.462078,A
276.719179,100475.922351,1.782213,5.176355,A
275.892391,100302.041503,4.051163,1.464164,A
275.410669,100423.069722,6.818573,-1.764496,A
273.882942,100634.493515,12.732699,-4.216761,A
272.875996,101010.572936,16.009658,-1.946126,A
271.377005,101349.426603,16.04392,1.614149,A
271.418429,101653.817158,14.64508,1.50707,A
272.361915,101883.81594,11.929105,0.703579,A
272.929964,102135.101045,7.054002,1.312833,A
274.031314,102413.143282,3.929146,2.07146,A
274.327693,102471.970599,-0.109191,1.343245,A
274.794959,102465.140284,-1.023198,2.430191,A
275.616622,102577.778386,-0.540287,2.434349,A
276.410732,102574.695547,-0.547379,4.917422,A
276.55581,102456.97687,-2.826009,6.656603,A
276.535824,102279.504587,-2.400683,9.906639,A
277.08149,101974.622113,-5.297197,11.71745,A
276.178373,101611.476207,-6.070732,13.757182,A
277.375826,101316.223648,-2.366426,12.064652,A
277.109682,101311.017131,0.303808,8.07359,A
276.084773,101363.06004,2.008811,4.189103,A
277.219919,101468.803349,5.346394,1.684778,A
276.841212,101888.455518,4.757985,3.750664,A
277.157634,102270.826701,3.397545,5.864998,A
277.421858,102650.71423,0.986351,6.676915,A
277.493867,102831.781929,1.372756,8.008717,A
277.330198,102891.111707,-0.062335,6.916517,A
276.629895,102828.90381,0.191269,5.667928,A
276.554924,102735.874849,0.582645,3.143848,A
276.918721,102605.225779,2.289314,1.085087,A
275.981668,102360.96014,2.41349,-0.689036,A
275.882354,102287.364724,4.67698,-1.166355,A
276.533355,102258.113821,7.608457,-2.411966,A
276.935255,102334.295549,8.00718,-0.072517,A
276.874743,102452.581407,8.12564,0.633481,A
276.206664,102520.148508,4.97804,2.457328,A
276.223893,102561.256906,3.150285,3.323658,A
276.468889,102585.703726,0.364117,4.367274,A
276.463822,102487.938417,-2.869408,4.697403,A
276.684487,102427.243198,-5.646928,3.120881,A
277.004104,102328.816614,-7.828307,1.784248,A
276.967327,102273.263434,-8.643138,0.37973,A
277.042084,102048.709485,-9.474497,-1.245915,A
275.501619,101804.587828,-10.69493,-2.306004,A
275.516381,101394.808597,-11.60668,-3.310258,A
277.199547,100964.364488,-11.674502,-5.04707,A
277.599736,100403.02876,-11.760554,-3.619822,A
278.538159,100251.504747,-10.060856,-2.874681,A
277.773747,100074.550734,-8.190761,-1.703629,A
277.604652,100092.055744,-5.468013,-0.746729,A
278.070682,100062.960399,-4.062149,-0.484697,A
277.455935,100025.689579,-2.121428,0.325912,A
277.912044,100079.286214,-0.141035,-1.237425,A
277.54823,100342.709396,2.389884,-0.498184,A
276.941564,100649.069049,6.033822,0.245128,A
276.511015,100999.638075,8.019018,1.416061,A
275.279068,101267.304469,6.349821,3.413221,A
275.719208,101215.721756,0.231831,4.765497,A
275.293114,100735.711107,-3.934302,3.174188,A
276.160828,100271.347838,-2.569924,-3.096301,A
275.037571,100005.911952,0.462628,-4.412857,A
273.825785,99761.586794,5.14704,-8.53808,A
273.875929,99574.762229,7.392834,-8.113327,A
271.293171,99526.372161,13.674183,-4.606437,A
270.67594,99846.017084,15.140692,2.164035,A
271.737508,100319.915643,15.52548,2.874556,A
271.696323,101078.336292,13.727011,3.020785,A
270.778446,101430.021205,11.691014,2.086114,A
271.96238,101790.583187,10.969197,1.946003,A
271.972214,102089.395913,10.521083,1.9823,A
272.192059,102237.237904,8.456377,2.532039,A
272.931664,102190.040161,2.772881,1.129559,A
273.8016,101759.35672,-3.91329,-3.414887,A
272.848759,101472.568147,-1.50478,-11.139226,A
273.562926,101703.76577,4.72158,-11.449054,A
273.380103,102018.618572,8.313652,-10.796807,A
272.883613,102209.778317,8.446112,-6.953267,A
273.054079,102277.346636,10.41609,-4.412053,A
272.906828,102309.12973,7.696586,-4.819448,A
273.366753,102446.470235,8.839002,-4.812241,A
273.616229,102646.990543,7.33293,-5.291994,A
274.600934,102918.358998,6.444475,-5.739412,A
274.957049,103179.344566,3.49868,-5.898317,A
275.659109,103404.733241,4.455203,-4.260887,A
276.368817,103621.018492,5.408519,-5.955708,A
276.727124,103736.584117,6.454252,-4.001356,A
276.720115,103745.375693,4.028549,-1.629483,A
276.544978,103527.866209,3.628798,1.134004,A
276.180526,103327.245875,2.145757,3.714658,A
275.940465,103102.744828,-1.017982,5.565109,A
276.930372,102679.559334,-3.10331,6.030905,A
277.693687,102147.109033,-0.987041,4.108247,A
278.525663,101780.594558,0.420972,-3.991004,A
277.138056,101971.512392,2.421419,-8.774697,A
276.825216,102269.268995,3.056032,-6.97981,A
276.115502,102456.847672,3.930802,-3.0818,A
275.981201,102524.106288,3.399933,-1.758507,A
276.394625,102539.71237,1.48493,0.749134,A
275.779766,102367.985434,-1.88827,-0.302227,A
275.463725,102277.496394,-2.375808,-1.611959,A
275.721236,102265.850721,-3.850615,-1.425614,A
276.547592,102364.437094,-2.568536,-0.728077,A
276.817123,102420.881265,-1.515495,-0.333018,A
277.541053,102523.084446,-0.298153,-0.047894,A
276.934079,102673.733276,-0.513254,-1.079332,A
278.225144,102878.612629,-1.567927,-0.812933,A
277.635006,102947.55952,-2.981312,-0.578374,A
277.998367,103098.944894,-4.310674,-0.007366,A
278.135761,103013.765895,-6.854975,0.706392,A
277.280481,102944.558947,-8.14647,3.327507,A
278.078946,102742.343562,-5.925961,4.530497,A
278.050033,102560.762174,-2.538853,4.998237,A
278.288194,102638.662866,1.402002,5.682234,A
277.17842,102758.922923,4.266487,2.151923,A
277.415383,102951.491966,1.942183,0.087827,A
277.252659,103040.644687,-2.975988,-1.330905,A
278.274867,103019.793176,-6.674122,-0.476868,A
278.219393,103018.772794,-8.014128,0.494352,A
278.836558,102879.0896,-6.009093,5.164203,A
279.220809,102855.724143,-4.775337,6.488304,A
279.874921,102928.91411,-1.845204,8.389465,A
278.709577,103011.717451,4.782713,4.344964,A
278.209369,103052.126205,4.064382,2.327326,A
277.483997,103029.676145,4.069099,0.220467,A
277.628886,102798.006934,4.287817,1.291965,A
278.670735,102379.162699,6.559242,2.19114,A
279.469543,101795.550363,8.544946,1.33722,A
279.143636,101200.031997,9.787112,-1.985341,A
278.994231,100857.980526,5.718334,-5.436331,A
277.984454,100537.164864,2.966411,-7.291062,A
277.56343,100505.379442,1.129883,-7.196119,A
277.695643,100566.363841,5.318116,-9.23404,A
277.275017,100756.87666,7.039903,-6.675084,A
277.291974,100708.004655,11.459273,-2.633716,A
277.752431,100605.081847,10.403501,-0.354295,A
277.959145,100590.177496,9.210506,-1.747704,A
277.470797,100686.959033,8.141764,-3.423599,A
277.608624,101102.072578,8.733662,-6.874075,A
278.066128,101445.484426,7.769977,-6.279421,A
277.540308,101681.452002,8.927225,-7.073828,A
277.663984,101961.480255,9.433827,-6.315526,A
277.857196,102310.826952,9.263346,-6.584032,A
277.868535,102542.457117,6.252208,-4.165958,A
277.55167,102767.56643,6.78274,-1.136375,A
277.845407,102854.820572,5.771765,1.092962,A
278.668471,102889.50654,5.145973,3.025272,A
277.364515,102737.644571,5.9145,3.096682,A
277.804456,102483.112015,3.256073,4.772201,A
278.382231,102054.467048,-0.00008,5.60021,A
279.010442,101577.21193,-2.151397,5.463169,A
279.27147,100882.333446,-2.341771,5.245008,A
278.415238,100317.513662,0.686197,4.840787,A
279.450707,100305.005542,7.890116,6.49371,A
278.452947,100613.152762,7.954079,6.725904,A
278.692844,101058.925494,6.909324,5.642452,A
278.350907,101525.546615,7.637076,7.781512,A
278.143447,101882.873941,5.391363,10.597799,A
279.067159,102013.411409,1.791442,13.1375,A
279.593989,101852.778388,1.650799,14.023514,A
279.595464,101869.66258,3.307672,11.28896,A
279.063119,101755.407686,-0.001048,6.899145,A
278.719471,101618.967746,-0.303614,2.911813,A
278.439214,101431.657581,0.650488,4.558338,A
278.892131,101138.990599,3.210014,7.600498,A
279.266688,101151.510345,5.869352,8.226541,A
278.558939,101758.923899,9.277408,0.611693,A
277.915157,102312.249142,10.020479,0.786555,A
277.572607,102550.670034,6.805513,2.04099,A
277.008085,102626.760198,5.917843,1.559687,A
277.236576,102690.742976,6.304862,0.196632,A
277.056759,102759.957895,6.088124,0.482334,A
276.604086,102856.320804,4.728308,0.539074,A
277.112151,103008.921705,4.231867,0.941169,A
277.60944,103081.955139,2.597871,2.616102,?
277.479603,103102.402263,1.829288,2.819964,?
276.795219,103028.090476,-0.040841,3.596627,?
277.398217,103016.56972,-1.599009,3.973525,?
277.861446,103010.602143,-1.946022,3.721539,?
277.769294,102892.152022,-3.402715,2.41093,?
276.919558,102835.272062,-3.498533,1.705949,?
277.411425,102741.11559,-4.471661,1.058097,?
277.922066,102704.477792,-5.936738,1.444257,?
277.738998,102537.013239,-6.729107,0.566833,?
278.562112,102528.68245,-6.969453,0.526599,?
279.209513,102545.138824,-7.160069,-1.037936,?
279.448725,102520.490057,-6.418093,-1.748295,?
279.585769,102344.99436,-5.263523,-4.034749,?
279.121259,102063.543532,-4.863235,-3.768388,?
280.322925,101835.039291,-5.943134,-3.3752,?
280.623593,101582.330392,-5.220712,-3.203461,?
278.914258,101323.990655,-6.314039,-2.717628,?
279.5773,100970.049311,-4.288031,-5.313679,?
278.893945,100495.565048,-3.466642,-6.886955,?
279.307329,100159.71233,-1.940271,-6.964058,?
279.11356,99807.106955,-2.798992,-6.74876,?
279.812961,99743.293156,-2.241572,-5.894798,?
279.521041,99844.484903,-0.847479,-6.19627,?
280.094866,99979.504113,0.208696,-6.912268,?
279.781249,100036.849576,1.17075,-4.622386,?
280.316375,100018.597904,4.741398,-2.725409,?
279.67752,100082.334287,5.657999,-2.028912,?
280.201313,100253.227608,6.188035,-0.146128,?
279.614329,100316.284821,5.09623,2.029745,?
279.645189,100496.609357,4.37953,4.821724,?
278.568084,100651.882932,7.111977,2.56554,?
279.146843,100953.145718,8.287932,3.067993,?
278.585816,101148.328214,6.726737,2.99247,?
278.002732,101216.535197,4.221512,4.803536,?
278.394935,101214.225128,1.45175,7.956419,?
278.926727,101100.487768,-2.511714,7.931563,?
278.827337,100695.345729,-4.309436,8.665195,?
279.285773,100272.583928,-2.621068,8.584152,?
279.006572,100191.423797,-0.084425,8.04329,?
279.3541,100063.687476,1.790604,5.256061,?
279.4184,99921.243977,2.554209,2.025261,?
279.020812,99928.743345,6.616796,-0.033555,?
278.923496,100238.865064,8.765377,-1.662143,?
278.727254,100527.070878,11.452526,-2.562794,?
277.961149,100842.504726,11.077098,0.344494,?
276.591221,101236.833431,12.459212,0.027451,?
276.490174,101570.416402,11.938735,-1.154473,?
276.679037,102231.702726,10.36895,-1.407676,?
277.526325,102773.589344,8.408482,-2.177444,?
277.324468,103245.245134,7.29181,-1.229968,?
277.936815,103660.554692,6.542833,-2.132021,?
278.069054,103968.391967,5.61993,-3.019981,?
278.305386,104203.65212,5.274151,-3.335403,?
278.052716,104387.150815,4.771111,-1.813531,?
278.073677,104441.832068,5.767678,-0.827718,?
279.171266,104443.073461,6.721541,0.106957,?
278.62966,104255.062734,5.761566,1.113702,?
279.026151,104037.447339,5.726584,1.922745,?
278.09312,103878.634612,5.616148,3.813724,?
278.875416,103676.744632,5.386089,3.476732,?
279.089967,103334.586622,3.912063,5.54941,?
279.589654,103087.99847,3.78941,6.557625,?
279.247216,102800.776079,0.310228,7.091703,?
279.359355,102721.556444,0.8258,6.045316,?
279.614302,102611.744486,-0.168919,5.744678,?
278.734027,102454.782153,-0.829095,4.508051,?
279.207148,102409.298901,-0.32042,3.301911,?
279.173455,102396.771184,-0.013476,3.144332,?
279.443384,102418.341344,0.623745,1.173849,?
279.696996,102344.745928,2.567032,0.679197,?
279.316147,102285.563735,3.451728,-0.052738,?
280.533755,102287.84929,3.262218,0.786246,?
279.564145,102280.56505,1.882513,1.236405,?
279.293452,102176.43916,-0.326517,1.504768,?
278.86879,101991.231909,-2.518108,1.697681,?
