@relation Station_46001_2018_07_09_09_59_1.arff

@attribute pres numeric
@attribute Class_WDIR {A}

@data
99574.762229,A
99526.372161,A
99846.017084,A
100319.915643,A
101078.336292,A
101430.021205,A
101790.583187,A
102089.395913,A
102237.237904,A
102190.040161,A
101759.35672,A
101472.568147,A
101703.76577,A
102018.618572,A
102209.778317,A
102277.346636,A
102309.12973,A
102446.470235,A
102646.990543,A
102918.358998,A
103179.344566,A
103404.733241,A
103621.018492,A
103736.584117,A
103745.375693,A
103527.866209,A
103327.245875,A
103102.744828,A
102679.559334,A
102147.109033,A
101780.594558,A
101971.512392,A
102269.268995,A
102456.847672,A
102524.106288,A
102539.71237,A
102367.985434,A
102277.496394,A
102265.850721,A
102364.437094,A
102420.881265,A
102523.084446,A
102673.733276,A
102878.612629,A
102947.55952,A
103098.944894,A
103013.765895,A
102944.558947,A
102742.343562,A
102560.762174,A
102638.662866,A
102758.922923,A
102951.491966,A
103040.644687,A
103019.793176,A
103018.772794,A
102879.0896,A
102855.724143,A
102928.91411,A
103011.717451,A
103052.126205,A
103029.676145,A
102798.006934,A
102379.162699,A
101795.550363,A
101200.031997,A
100857.980526,A
100537.164864,A
100505.379442,A
100566.363841,A
100756.87666,A
100708.004655,A
100605.081847,A
100590.177496,A
100686.959033,A
101102.072578,A
101445.484426,A
101681.452002,A
101961.480255,A
102310.826952,A
102542.457117,A
102767.56643,A
102854.820572,A
102889.50654,A
102737.644571,A
102483.112015,A
102054.467048,A
101577.21193,A
100882.333446,A
100317.513662,A
100305.005542,A
100613.152762,A
101058.925494,A
101525.546615,A
101882.873941,A
102013.411409,A
101852.778388,A
101869.66258,A
101755.407686,A
101618.967746,A
101431.657581,A
101138.990599,A
101151.510345,A
101758.923899,A
102312.249142,A
102550.670034,A
102626.760198,A
102690.742976,A
102759.957895,A
102856.320804,A
103008.921705,A
103081.955139,?
103102.402263,?
103028.090476,?
103016.56972,?
103010.602143,?
102892.152022,?
102835.272062,?
102741.11559,?
102704.477792,?
102537.013239,?
102528.68245,?
102545.138824,?
102520.490057,?
102344.99436,?
102063.543532,?
101835.039291,?
101582.330392,?
101323.990655,?
100970.049311,?
100495.565048,?
100159.71233,?
99807.106955,?
99743.293156,?
99844.484903,?
99979.504113,?
100036.849576,?
100018.597904,?
100082.334287,?
100253.227608,?
100316.284821,?
100496.609357,?
100651.882932,?
100953.145718,?
101148.328214,?
101216.535197,?
101214.225128,?
101100.487768,?
100695.345729,?
100272.583928,?
100191.423797,?
100063.687476,?
99921.243977,?
99928.743345,?
100238.865064,?
100527.070878,?
100842.504726,?
101236.833431,?
101570.416402,?
102231.702726,?
102773.589344,?
103245.245134,?
103660.554692,?
103968.391967,?
104203.65212,?
104387.150815,?
104441.832068,?
104443.073461,?
104255.062734,?
104037.447339,?
103878.634612,?
103676.744632,?
103334.586622,?
103087.99847,?
102800.776079,?
102721.556444,?
102611.744486,?
102454.782153,?
102409.298901,?
102396.771184,?
102418.341344,?
102344.745928,?
102285.563735,?
102287.84929,?
102280.56505,?
102176.43916,?
101991.231909,?
101764.499427,?
101426.085288,?
101287.202392,?
101181.427332,?
101073.12927,?
101017.140301,?
100984.217493,?
100967.838776,?
101022.660754,?
100883.49548,?
100857.919738,?
100871.142433,?
100956.624574,?
101013.98113,?
101023.948644,?
101190.623643,?
101299.358712,?
101452.046218,?
101642.201534,?
101856.114383,?
102030.951193,?
101998.280364,?
102169.545295,?
102315.731496,?
102494.68286,?
102614.532019,?
102758.827998,?
102851.442562,?
103010.065159,?
102975.880676,?
102918.991768,?
102696.180214,?
102321.04143,?
101755.840797,?
101302.799633,?
101027.425839,?
100975.560614,?
100853.904825,?
100835.788186,?
100911.470815,?
101089.025229,?
101283.231105,?
101530.43647,?
101607.735543,?
101502.727319,?
100957.118559,?
100580.480519,?
100223.468781,?
100263.164286,?
100416.571525,?
100748.578066,?
101112.342944,?
101433.332986,?
101689.03462,?
101952.006205,?
102275.081314,?
102493.968684,?
102734.380067,?
102829.515246,?
102933.932943,?
103074.525266,?
103113.937417,?
103057.189234,?
103061.21271,?
102995.080629,?
102772.367256,?
102662.804263,?
102540.173022,?
102520.79384,?
102445.898678,?
102419.442303,?
102361.131931,?
102228.981651,?
102066.706213,?
102084.17378,?
102157.190054,?
102392.035569,?
102637.210094,?
102841.785436,?
103050.108495,?
103092.80519,?
103139.200826,?
103162.058422,?
103198.32228,?
103165.182935,?
102973.550925,?
102895.092832,?
102904.747146,?
102823.785116,?
102667.730934,?
102569.61877,?
102493.022646,?
102307.790746,?
101892.471998,?
101636.807565,?
101445.388245,?
101453.496805,?
101380.172915,?
101428.874388,?
101513.821824,?
101871.518374,?
101975.08315,?
102120.57535,?
102205.092098,?
102316.000008,?
102345.087624,?
102490.192463,?
102547.758211,?
102571.226324,?
102408.09495,?
102139.045646,?
101803.003909,?
101397.109517,?
100908.661541,?
100690.341844,?
100453.452694,?
100331.14336,?
100234.851248,?
100334.222701,?
100462.722468,?
100584.889425,?
100554.844495,?
100517.54119,?
100592.441067,?
100710.002584,?
100716.616603,?
100690.374379,?
100770.956885,?
101018.689417,?
101395.11865,?
101767.514348,?
102016.067993,?
102156.580571,?
102270.102803,?
102457.596479,?
102572.200074,?
102621.529852,?
102563.24098,?
102522.086433,?
102513.738967,?
102457.931422,?
102425.84334,?
102410.139319,?
102397.365208,A
102239.838805,A
101864.121604,A
101412.843251,A
100931.304707,A
100795.567824,A
100900.288364,A
101087.013879,A
101356.334709,A
101585.253347,A
101801.808772,A
102025.084127,A
102241.216208,A
102439.227177,A
102399.140571,A
102389.716217,A
102463.908671,A
102497.188741,A
102484.287085,A
102449.017741,A
102435.117095,A
102402.239218,A
102270.673531,A
102194.656309,A
102090.381723,A
101893.164047,A
101294.231988,A
101004.554002,A
101049.195909,A
101069.711501,A
101102.983358,A
101249.124387,A
101515.557224,A
101726.893194,A
101835.816305,A
101840.75002,A
101840.238128,A
102215.736704,A
102494.109409,A
102544.332749,A
102439.606566,A
102308.106334,A
102131.130579,A
101964.624558,A
101985.158528,A
102021.002299,A
101998.227946,A
101950.821986,A
101965.670999,A
102014.631311,A
101989.895939,A
102073.603827,A
102211.971817,A
102534.130068,A
102705.535724,A
102922.629593,A
103073.46432,A
103188.080118,A
103191.803814,A
103297.766917,A
103387.343573,A
103345.11238,A
103195.222765,A
103068.109589,A
103123.147863,A
102979.465599,A
102910.98164,A
102787.271365,A
102837.057457,A
102780.227142,A
102843.248131,A
102831.435808,A
102986.199192,A
102983.001495,A
103040.502031,A
103000.946768,A
103080.194173,A
103104.534213,A
103003.539698,A
102870.350948,A
102804.18614,A
102713.327876,A
102585.463516,A
102387.560787,A
102181.402839,A
102088.369647,A
101953.173488,A
101863.73547,A
101969.78396,A
102083.4829,A
102252.364337,A
102380.416981,A
102465.011628,A
102473.931483,A
102477.759187,A
102371.951642,A
102337.467621,A
102231.220681,A
102229.050227,A
102227.028469,A
102350.341024,A
102422.499276,A
102479.470315,A
102679.602093,A
102901.965305,A
103125.586588,A
103150.609053,A
103284.098559,A
103336.243147,A
103402.885419,A
103287.562198,A
103246.506702,A
103192.99133,A
103112.375228,A
103045.732956,A
102968.232419,A
103005.765683,A
103006.918084,A
102991.540743,A
103011.159943,A
103089.60559,A
103117.419327,A
103032.860905,A
102988.817147,A
102887.242512,A
102793.830664,A
102530.266757,A
102324.294707,A
102148.037709,A
102087.536466,A
101982.155869,A
101913.044473,A
101647.846304,A
101128.77352,A
100843.285274,A
101239.725947,A
101517.15043,A
101778.991875,A
101797.748095,A
101867.395548,A
101942.013733,A
102040.727409,A
102019.777824,A
102011.717451,A
101947.857503,A
101907.238038,A
101531.286405,A
101194.503408,A
101036.71345,A
101149.849297,A
101155.160073,A
101136.943032,A
101180.770253,A
101109.908491,A
101194.389498,A
101325.628504,A
101557.621275,A
101630.621006,A
101355.810604,A
101128.190601,A
101136.970359,A
101174.590227,?
101335.067449,?
101397.681772,?
101646.572156,?
101837.092463,?
101851.009786,?
101854.929497,?
101705.472415,?
101731.719354,?
101761.509919,?
101784.124241,?
101967.362637,?
102085.747546,?
102084.560272,?
102047.379556,?
102017.215051,?
102032.977425,?
102049.126425,?
102066.356545,?
101956.784605,?
101912.60134,?
101770.024219,?
101731.918915,?
101644.314854,?
101529.838563,?
101271.906604,?
100916.805022,A
100581.173073,A
100426.54483,A
100363.981371,?
100232.137539,?
100162.857407,?
100172.33564,?
100065.295649,A
100081.674366,?
100282.170025,?
100586.727471,?
100786.919987,?
100992.210481,?
101227.655663,A
101313.056784,A
101413.517571,?
101500.583428,?
101668.848763,A
101822.202017,A
101894.491804,?
101850.600106,A
101853.649348,A
101714.940146,A
101676.16462,A
101477.801346,A
101416.354991,A
101363.839719,A
101228.739355,?
101101.612516,?
100934.715637,?
100816.133738,?
100702.425608,?
100599.446294,A
100563.716164,A
100676.316823,?
100806.855267,?
100881.800075,A
100925.745893,A
100951.380229,A
100930.463129,A
100962.875746,A
100935.490068,?
100877.573917,?
100812.686485,?
100890.332221,?
101102.360839,?
101252.365555,?
101319.442747,?
101285.008372,?
101092.567744,?
100877.443107,A
100173.119493,A
99503.881963,A
99470.33338,A
99955.120929,A
100496.700665,?
101002.410136,?
101467.407953,?
101769.330902,?
101917.658436,?
101937.83213,?
101894.836138,?
101793.858541,?
101736.736419,?
101616.383872,?
101567.402167,?
101567.590451,?
101520.014644,?
101485.161157,?
101285.839592,A
101090.566017,A
100568.010288,A
100283.920247,A
100246.416213,A
100465.466628,A
100507.155145,A
100604.612838,A
100960.542972,A
101318.589682,A
101635.52352,?
101816.065221,?
101867.547316,A
101724.488885,A
101242.355708,A
100329.570987,A
99929.473176,A
100154.761448,A
100640.952858,A
100963.855827,?
100859.099206,A
100582.511972,A
100762.405617,?
101098.997509,?
101508.230758,?
101550.459999,?
101161.687971,?
100804.765224,?
100722.259007,?
100883.434705,?
100894.071958,?
100891.047229,?
100984.865744,?
101070.636089,?
101013.08265,?
101033.297777,?
101507.258186,?
101787.381016,?
101962.859794,?
102001.081309,?
101898.146191,?
101714.589144,?
101242.735253,?
101295.555513,?
101342.218936,?
101375.818585,?
101283.065383,?
101196.920856,?
101078.573148,?
101180.294151,?
101191.909242,?
101142.934339,?
101072.564874,?
101022.498308,?
100982.64142,?
100905.109617,?
100787.108079,?
100698.325693,?
100622.92034,?
100563.981421,?
100382.77747,?
100417.507151,?
100538.163709,?
100747.940611,?
100806.846803,?
100850.413966,?
100736.969392,?
100415.06225,?
100227.055755,?
100008.569409,?
99892.574797,?
99837.994055,?
99851.244027,?
99683.094169,?
98703.120711,?
97549.967461,?
97205.562218,?
97474.048438,?
97852.443996,?
98051.672579,?
98377.023812,?
98889.58873,?
99325.660072,?
99765.232012,?
100128.853537,?
100593.775734,?
101046.106461,?
101461.461433,?
101813.730204,?
101975.236562,?
101539.24599,?
100921.752421,?
100930.140393,?
101019.614394,?
100829.280911,?
100720.23896,?
100850.037989,?
100837.882308,?
100160.444888,?
98428.84089,?
97577.394786,?
97469.352586,?
97938.238457,?
98608.73086,?
98790.87053,?
98693.205731,?
98639.281064,?
99028.795629,?
99259.265605,?
99597.732645,?
99692.381412,?
99940.573563,?
100165.661482,?
100492.426584,?
100582.257606,?
100802.37572,?
101037.964883,?
101321.285652,?
101441.376238,?
101430.267975,?
101183.498292,?
100681.463556,?
99967.342933,?
99431.663958,?
99327.733988,?
99251.139033,?
99459.027616,?
99864.561876,?
100397.048894,?
100915.113983,?
101279.806812,?
101509.966843,?
101536.131651,?
101480.505529,?
101212.547945,?
101039.887967,?
101297.445745,?
101392.778155,?
101616.692706,?
101618.099473,?
101804.629273,?
101836.901407,?
101643.090236,?
100916.509428,?
100158.621338,?
99756.205368,?
100069.113692,?
100669.725079,?
101270.132615,?
101622.038538,?
101659.817461,?
101596.643544,?
101491.466932,?
101366.407266,?
101463.961922,?
101435.619557,?
101758.857952,?
101853.538229,?
101660.672797,?
101422.40177,?
100939.961585,?
100658.239231,?
100454.247555,?
100532.111914,?
100550.806768,?
101016.250732,?
101290.513115,?
101668.911203,?
102070.28389,?
102457.185244,?
102729.507023,?
102760.123367,?
102840.422036,?
102846.378036,?
102927.643836,?
102872.143316,?
102572.722459,?
102515.527211,?
102288.21233,?
102006.921532,?
101657.559269,?
101372.30272,?
101426.952571,?
101724.907033,?
101786.928684,?
101413.840153,?
100748.459557,?
100572.031243,?
100968.852851,?
101238.321268,?
101555.349441,?
101706.739289,?
101844.101187,?
102000.323371,?
102076.213048,?
102179.460391,?
102212.489352,?
102254.202624,?
102504.157452,?
102624.26399,?
102530.56359,?
102129.480526,?
101477.326507,?
101086.906468,?
101116.754941,?
101281.721867,?
101353.022288,?
101043.981255,?
100706.136308,?
100776.744931,?
101040.240756,?
101290.035311,?
101697.899671,?
102231.25764,?
102704.061358,?
102960.650621,?
103158.681765,?
102935.12607,?
102438.310888,?
101938.858145,?
101688.303207,?
101414.886258,?
101082.591756,?
100638.60291,?
100353.152193,?
100689.245555,?
100858.566386,?
100888.524469,?
100566.545631,?
99631.781956,?
98728.258576,?
98758.017981,?
98767.372273,?
99124.687589,?
99652.021234,?
100092.638446,?
100432.243114,?
100811.646945,?
101136.483513,?
101487.864171,?
101803.991537,?
102093.460822,?
102345.910882,?
102301.0498,?
101733.168028,?
101163.860194,?
101213.997421,?
101267.228956,?
101047.376435,?
100388.886542,?
99828.229607,?
99706.783785,?
99663.884941,?
99540.847033,?
99656.349107,?
100010.885895,?
100485.16821,?
100994.678929,?
101421.81797,?
101877.731669,?
102070.481508,?
102138.697438,?
101908.727286,?
101351.182988,?
100828.472495,?
100716.989915,?
100822.366773,?
101219.361977,?
101809.742536,?
102271.983402,?
102653.944663,?
102853.225279,?
102951.199047,?
102897.808834,?
102867.561328,?
102509.769226,?
102102.404313,?
101752.158788,?
101648.562647,?
101775.48258,?
101527.784571,?
101455.584403,?
101395.076299,?
101515.931066,?
101671.263718,?
101977.017385,?
102372.771053,?
102592.635285,?
102793.35754,?
102773.625569,?
102877.349265,?
102702.910174,?
102406.34328,?
102058.446136,?
102105.587081,?
102157.005182,?
102164.073427,?
101936.055839,?
101759.751523,?
101821.371958,?
101935.612357,?
102152.312981,?
102161.415428,?
102236.030358,?
102186.938268,?
102175.779248,?
102133.571592,?
102144.384926,?
102174.147238,?
102197.591813,?
102181.436194,?
102289.825576,?
102249.410204,?
102149.9397,?
102145.775499,?
101926.021401,?
101565.618473,?
100625.605679,?
100441.474013,?
100414.632606,?
100259.742701,?
99590.01935,?
99269.841975,?
99194.11228,?
99636.487987,?
100197.692864,?
100668.400287,?
101084.013413,?
101685.088215,?
102029.103612,?
102173.299322,?
102081.296387,?
101920.255481,?
101699.538869,?
101385.134351,?
100920.193775,?
100643.103211,?
100614.352625,?
101042.648599,?
101199.227804,?
101260.850867,?
101343.968577,?
101409.234423,?
101401.453412,?
101389.728913,?
101226.895039,?
101186.73525,?
101225.461613,?
101208.971052,?
101436.946481,?
101547.882403,?
101788.142702,?
101924.817701,?
102024.338092,?
102020.097103,?
102090.613913,?
102095.007831,?
102089.933333,?
102390.794611,?
102576.486429,?
102963.586183,?
103408.353306,?
103586.961313,?
103784.565615,?
104020.561445,?
104258.645598,?
104354.474536,?
104355.144758,?
104247.447232,?
104072.666929,?
103857.607263,?
103585.67897,?
103461.343646,?
103246.10703,?
103179.629262,?
103093.348485,?
103237.717647,?
103318.284103,?
103474.884701,?
103560.93465,?
103547.995793,?
103571.210409,?
103505.917528,?
103455.202134,?
103399.818174,?
103476.525658,?
103545.589737,?
103660.098755,?
103582.721049,?
103516.723132,?
103254.777921,?
103172.916928,?
103053.878716,?
102875.683202,?
102564.207618,?
102054.284058,?
101281.147968,?
100485.704931,?
99777.486856,?
99306.965823,?
99341.309961,?
99675.191892,?
100022.521161,?
100145.198058,?
100102.320181,?
100255.175447,?
100136.185906,?
99335.643324,?
98288.658052,?
98425.925279,?
98670.374969,?
98688.060001,?
98824.270031,?
99073.245359,?
99451.017287,?
100121.481329,?
100603.319277,?
101203.43972,?
101555.423301,?
101791.681226,?
101729.755948,?
101752.748442,?
101892.783498,?
102133.70483,?
102449.754779,?
102849.244588,?
103142.396379,?
103258.992744,?
102938.499848,?
101923.938362,?
100270.597584,?
100289.160661,?
100765.618039,?
100470.914176,?
100329.347136,?
100773.823428,?
100972.22341,?
100935.420238,?
100855.453834,?
100694.220171,?
100418.803242,?
100201.306069,?
99908.118537,?
99853.628632,?
100122.198085,?
100438.014579,?
100975.352939,?
101594.547577,?
102039.707704,?
102221.252133,?
102028.750475,?
101462.64508,?
100368.166218,?
99756.909415,?
99947.232647,?
100342.454673,?
100491.137032,?
100520.777441,?
100599.506925,?
100747.366811,?
100884.977974,?
101022.509092,?
101188.829457,?
101352.767439,?
101265.132931,?
101037.607562,?
101198.476968,?
101337.461446,?
101360.6217,?
101329.971944,?
101523.018065,?
101432.396513,?
100967.779497,?
100493.684982,?
100252.406495,?
100127.98787,?
100108.020839,?
100207.999446,?
100530.457236,?
100412.466818,?
99511.879162,?
99374.740818,?
99207.453563,?
99388.480671,?
99751.93517,?
100188.367174,?
100753.727355,?
101126.582321,?
101720.737333,?
102101.965063,?
102571.121631,?
102754.536976,?
102800.228445,?
102578.025157,?
101948.303195,?
100924.075684,?
100199.349223,?
99845.644398,?
99791.79136,?
100194.964409,?
100731.637948,?
100874.270058,?
100830.635596,?
100908.7678,?
101023.561525,?
100961.043866,?
100750.755797,?
100539.131517,?
100151.957661,?
99866.190195,?
99791.123776,?
99847.998094,?
99891.167779,?
99732.027154,?
99563.062127,?
99641.368025,?
99826.465376,?
100019.918898,?
100194.588817,?
100277.547607,?
100173.830288,?
100054.693026,?
99872.712943,?
99754.712516,?
99185.759199,?
98730.424325,?
98702.943143,?
98787.024971,?
99196.976785,?
99673.713633,?
100355.406866,?
100766.408135,?
100273.89032,?
99108.221519,?
98863.992987,?
98926.76507,?
99197.378941,?
100468.782973,?
101051.089764,?
100931.18323,?
100941.578911,?
100876.427149,?
99761.873344,?
99335.292393,?
100341.951826,?
100507.917101,?
99771.143244,?
98936.464727,?
98933.814529,?
99219.974322,?
99165.724975,?
99495.68764,?
100259.04187,?
100971.171519,?
101113.36866,?
100620.040874,?
100061.481201,?
100291.727944,?
100532.119044,?
100752.536804,?
100766.391059,?
100474.7699,?
99916.555815,?
99623.821824,?
100077.666263,?
100380.215759,?
100360.977194,?
99881.793783,?
99715.279406,?
100041.026213,?
99964.383699,?
100269.856207,?
100837.971386,?
100840.46166,?
100591.081609,?
101124.983231,?
101621.334564,?
101888.711921,?
101712.513651,?
101573.000121,?
101314.315567,?
100961.003011,?
100626.974085,?
100743.242767,?
101024.820415,?
100489.008916,?
99980.88076,?
99505.210925,?
99714.769349,?
100724.292862,?
101112.198547,?
101365.72078,?
101512.234772,?
101499.340217,?
101589.134145,?
101774.045115,?
101956.458708,?
102189.693364,?
102436.940404,?
102564.84522,?
102594.323695,?
102597.311957,?
102628.598281,?
102608.278219,?
102778.923792,?
102834.086983,?
102906.374682,?
103076.165247,?
103131.16632,?
103217.484298,?
103219.267392,?
103062.966332,?
103022.96983,?
102909.159286,?
102928.661541,?
102931.645329,?
102880.37918,?
102907.189212,?
102948.023697,?
103235.154767,?
103593.444858,?
103838.327816,?
104116.594127,?
104186.426366,?
104135.830546,?
104071.275486,?
103934.52283,?
103708.752485,?
103323.579178,?
102554.311598,?
101044.277317,?
99842.855611,?
99573.015834,?
100172.791411,?
100831.22898,?
101508.127463,?
101955.514117,?
102188.412034,?
102100.430537,?
101767.99414,?
101356.489434,?
100960.345777,?
100686.557902,?
100473.88027,?
100422.675102,?
100500.719667,?
100598.898155,?
100663.074666,?
100706.345896,?
100533.843418,?
100164.824804,?
99865.919829,?
99476.499948,?
99195.674169,?
98815.496243,?
98636.170939,?
98601.027296,?
98585.142778,?
98450.416353,?
98165.50636,?
98080.995545,?
98139.170043,?
98169.728478,?
97911.848987,?
97689.960224,?
97575.873681,?
97704.622471,?
97895.170974,?
98366.34157,?
98599.434283,?
98794.359785,?
98862.220781,?
98888.738137,?
98946.667418,?
99009.145005,?
99256.96915,?
99609.213137,?
99950.797096,?
100156.398704,?
100235.427484,?
100606.209309,?
100898.137601,?
101292.042721,?
101687.78058,?
101921.172146,?
102013.366515,?
101787.000059,?
101713.848027,?
102013.470831,?
102154.687469,?
102229.232712,?
102265.904106,?
102113.622049,?
101844.500488,?
101483.509228,?
101225.599455,?
101152.347638,?
101138.393848,?
101182.829683,?
101197.360094,?
101366.632738,?
101399.098364,?
101621.465808,?
101455.078771,?
101073.73822,?
100569.073887,?
100346.180792,?
100235.980304,?
100162.363737,?
100233.223219,?
100320.901681,?
100433.787395,?
100799.196594,?
101421.942694,?
101916.662017,?
102191.992968,?
102201.22928,?
102069.736777,?
101855.659423,?
101706.8589,?
101548.296065,?
101422.442129,?
101360.26034,?
101307.236095,?
101327.701356,?
101379.784094,?
101374.095881,?
101328.461787,?
101421.400645,?
101374.972282,?
101506.989808,?
101556.689052,?
101633.441709,?
101533.618417,?
101450.284469,?
101288.29967,?
101095.151377,?
100926.273196,?
100768.476378,?
100631.083839,?
100580.212154,?
100434.489995,?
100193.390496,?
99910.463842,?
99556.773607,?
99002.514346,?
98627.497572,?
98553.981273,?
98661.351734,?
98736.347405,?
98973.325789,?
