@relation p1_1.arff

@attribute air numeric
@attribute Class_WDIR {A}

@data
276.586695,A
277.013624,A
277.464715,A
277.290562,A
277.361404,A
277.861414,A
278.038899,A
277.81529,A
278.55752,A
278.362527,A
278.714191,A
279.385011,A
279.435032,A
277.660836,A
277.380011,A
277.260861,A
277.818092,A
277.885037,A
278.063645,A
277.841136,A
277.782802,A
278.190024,A
278.689448,A
278.236133,A
278.96141,A
278.787249,A
278.531145,A
278.210331,A
277.837802,A
277.538367,A
277.690582,A
277.841697,A
277.441137,A
277.241132,A
277.56585,A
277.319737,A
276.868069,A
277.18834,A
277.441132,A
277.790575,A
277.815856,A
277.382246,A
277.013651,A
277.543915,A
277.743353,A
277.307523,A
277.309201,A
278.188354,A
277.414744,A
277.135588,A
277.388917,A
278.038357,A
277.413072,A
278.208087,A
278.786696,A
279.008628,A
277.634498,A
276.983925,A
277.141697,A
277.568079,A
277.739467,A
277.913644,A
278.038925,A
278.064203,A
277.565879,A
277.08615,A
277.187243,A
277.687254,A
277.518078,A
277.014752,A
277.792252,A
277.415321,A
277.138366,A
276.258659,A
276.544501,A
275.773655,A
276.193924,A
276.690029,A
278.314749,A
278.437241,A
277.80976,A
277.656421,A
277.833919,A
277.965289,A
277.589447,A
277.814742,A
278.138352,A
278.664736,A
277.915854,A
277.860864,A
278.189471,A
278.420298,A
278.219183,A
277.719188,A
278.417515,A
278.421409,A
278.567516,A
278.60697,A
278.532813,A
278.734466,A
278.563635,A
278.538362,A
279.014752,A
279.166981,A
279.419764,A
279.346696,A
279.768092,A
279.893355,A
279.539478,A
279.111975,A
279.861955,A
280.09,A
279.764171,A
279.31473,A
280.06529,A
280.365833,A
279.740551,A
279.416945,A
279.687798,A
279.587222,A
279.186719,A
279.116409,A
279.821963,A
279.666412,A
279.31364,A
279.339457,A
279.693908,A
280.190554,A
280.014724,A
279.519746,A
280.241135,A
280.467487,A
279.690001,A
280.06474,A
279.688353,A
279.463087,A
279.337255,A
279.362522,A
279.618627,A
280.170849,A
279.639463,A
279.136692,A
279.49002,A
279.262527,A
279.517528,A
279.440024,A
279.81809,A
279.714195,A
279.839465,A
279.611982,A
279.863633,A
280.089455,A
279.839458,A
279.867501,A
280.318061,A
281.468055,A
280.844997,A
280.020867,A
280.41863,A
280.82471,A
280.450031,A
280.945021,A
281.322513,A
280.543364,A
280.414203,A
280.56308,A
280.743899,A
280.441148,A
280.169772,A
281.269184,A
281.494435,A
281.315833,A
280.590581,A
281.3378,A
281.61752,A
281.491701,A
281.188354,A
281.139461,A
281.590029,A
281.091689,A
280.840038,A
280.940032,A
280.918073,A
280.591686,A
280.56864,A
280.644481,A
281.368091,A
280.887801,A
280.959203,A
281.161421,A
281.083359,A
281.03556,A
280.467533,A
281.640021,A
281.392782,A
280.816401,A
281.187233,A
281.388908,A
281.213618,A
280.791141,A
281.237249,A
281.444456,A
281.144473,A
281.040565,A
281.115859,A
281.045025,A
281.468644,A
281.215323,A
281.566419,A
282.233337,A
282.011938,A
282.685559,A
282.637235,A
284.282198,A
282.882773,A
282.8828,A
282.4828,A
