#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 12 31 23 50  73 10.3 12.4  2.06  7.14  5.65 110 1013.3  28.0  27.9  23.6 99.0 99.00
2016 01 01 00 50  69 10.1 12.2  2.23  7.69  5.75  94 1013.6  28.0  27.8  23.4 99.0 99.00
2016 01 01 01 50  73  9.4 12.5  1.91 10.00  5.63 125 1014.1  27.6  27.9  24.1 99.0 99.00
2016 01 01 02 50  79  9.7 11.7  2.29 10.00  5.96  91 1014.6  27.9  27.9  23.8 99.0 99.00
2016 01 01 03 50  74  9.0 11.1  2.08 10.00  5.76 111 1014.7  27.7  27.9  24.2 99.0 99.00
2016 01 01 04 50  85  9.8 11.8  1.90  7.69  5.67 104 1014.2  27.9  27.9  23.7 99.0 99.00
2016 01 01 05 50  78  8.3  9.6  1.80  6.25  5.65  87 1013.8  27.8  27.9  24.1 99.0 99.00
2016 01 01 06 50  79  8.7 10.2  1.80  8.33  5.44 102 1013.3  27.6  27.9  23.8 99.0 99.00
2016 01 01 07 50  85  9.5 11.9  1.96  7.14  5.73  95 1012.5  27.6  27.9  23.8 99.0 99.00
2016 01 01 08 50  83  9.0 10.8  2.03  5.88  5.54  88 1012.3  27.7  27.9  23.8 99.0 99.00
2016 01 01 09 50  80  9.2 11.4  1.98  7.69  5.48 106 1012.4  27.3  27.8  23.9 99.0 99.00
2016 01 01 10 50  82  9.4 11.1  1.91  7.14  5.34 105 1012.7  27.5  27.8  23.8 99.0 99.00
2016 01 01 11 50  85 10.0 11.7  2.04  5.88  5.61  92 1013.4  27.8  27.8  23.4 99.0 99.00
2016 01 01 12 50  79 10.0 12.9  2.09  7.14  5.49  92 1014.2  27.6  27.8  23.4 99.0 99.00
2016 01 01 13 50  85  7.4  8.7  2.27  6.67  5.73  94 1015.1  27.8  27.8  24.1 99.0 99.00
2016 01 01 14 50  78  9.0 10.7  2.21  7.14  5.67 108 1015.7  27.7  27.8  23.7 99.0 99.00
2016 01 01 15 50  92  7.4  8.5  2.11  7.69  5.50 100 1015.9  27.8  27.8  24.1 99.0 99.00
2016 01 01 16 50  89  8.0  9.4  2.20  7.14  5.61 108 1015.4  27.9  27.9  23.8 99.0 99.00
2016 01 01 17 50  80  9.4 11.4  2.45  7.14  5.85 107 1014.4  28.1  27.9  23.0 99.0 99.00
2016 01 01 18 50  84  8.3  9.9  2.42  7.69  5.74 111 1013.7  28.1  28.0  23.3 99.0 99.00
2016 01 01 19 50  79  8.7 10.5  2.19  7.69  5.71 100 1012.9  28.1  27.9  23.2 99.0 99.00
2016 01 01 20 50  79  8.6 10.2  2.24  7.69  5.78 104 1012.3  28.0  27.9  23.2 99.0 99.00
2016 01 01 21 50  75  8.4  9.9  2.26  6.67  5.89  95 1012.5  27.9  27.9  23.4 99.0 99.00
2016 01 01 22 50  71  7.9  9.1  2.06  8.33  5.68  98 1013.2  27.9  27.9  23.2 99.0 99.00
2016 01 01 23 50  67  7.4  8.6  2.15 10.00  6.01 105 1013.9  27.8  27.9  23.5 99.0 99.00
2016 01 02 00 50  62  6.7  8.5  2.01 10.00  5.86 103 1014.7  27.5  27.9  23.8 99.0 99.00
2016 01 02 01 50  70  7.0  8.1  2.01 10.00  5.89  98 1015.5  27.8  27.9  23.8 99.0 99.00
2016 01 02 02 50  76  7.2  8.4  1.97  9.09  5.83 111 1015.8  27.5  27.9  23.1 99.0 99.00
2016 01 02 03 50  65  8.3 10.8  1.82  8.33  5.82 104 1015.6  27.5  27.9  23.5 99.0 99.00
2016 01 02 04 50  72  7.9  9.1  1.82 10.00  5.88 105 1015.2  27.7  27.8  23.6 99.0 99.00
2016 01 02 05 50  72  8.4  9.9  1.78 10.00  5.63 110 1014.8  27.6  27.8  23.0 99.0 99.00
2016 01 02 06 50  64  7.7  9.0  1.91 10.00  5.68 106 1014.4  27.4  27.8  23.1 99.0 99.00
2016 01 02 07 50  64  6.6  8.0  1.87 10.00  5.63 120 1014.0  27.3  27.8  22.9 99.0 99.00
2016 01 02 08 50  56  6.0  7.3  1.78  9.09  5.63 102 1013.9  27.3  27.8  22.7 99.0 99.00
2016 01 02 09 50  52  6.1  7.4  1.69 10.00  5.86 117 1013.9  27.4  27.9  22.6 99.0 99.00
2016 01 02 10 50  56  6.3  7.3  1.79 10.00  6.16 110 1014.1  27.4  27.9  22.4 99.0 99.00
2016 01 02 11 50  54  6.3  7.9  1.56 10.00  5.76  99 1014.5  27.4  27.9  22.5 99.0 99.00
2016 01 02 12 50  62  6.0  7.1  1.67 10.00  5.88  91 1015.4  27.5  27.9  22.9 99.0 99.00
2016 01 02 13 50  60  5.7  6.7  1.52 10.00  5.70 104 1016.0  27.6  27.9  22.7 99.0 99.00
2016 01 02 14 50  55  5.2  6.3  1.53 10.00  5.74  97 1016.4  27.4  27.9  23.1 99.0 99.00
2016 01 02 15 50  70  5.2  6.0  1.59 10.00  6.02 105 1016.4  27.7  27.9  22.8 99.0 99.00
2016 01 02 16 50  92  6.4  7.2  1.45 10.00  5.91 109 1015.5  27.8  28.0  23.0 99.0 99.00
2016 01 02 17 50  81  6.4  7.6  1.47 10.00  5.85 103 1014.5  27.6  28.1  23.2 99.0 99.00
2016 01 02 18 50  77  6.0  7.4  1.32 10.00  5.62  98 1013.6  27.6  28.1  23.2 99.0 99.00
2016 01 02 19 50  87  5.6  6.4  1.42 10.00  5.81 120 1013.1  27.7  28.1  23.2 99.0 99.00
2016 01 02 20 50  76  5.7  6.8  1.34 10.00  5.48 137 1012.7  27.7  28.2  23.0 99.0 99.00
2016 01 02 21 50  71  5.6  6.5  1.44 10.00  5.54 107 1012.6  27.4  28.1  23.5 99.0 99.00
2016 01 02 22 50  75  6.6  8.0  1.39  9.09  5.41 100 1012.8  27.5  28.0  22.9 99.0 99.00
2016 01 02 23 50  77  7.3  8.3  1.30 10.00  5.41  93 1012.9  27.5  28.0  22.9 99.0 99.00
2016 01 03 00 50  79  7.2  8.7  1.41 10.00  5.62 126 1013.4  27.5  28.0  23.3 99.0 99.00
2016 01 03 01 50  75  7.3  8.2  1.55 10.00  5.58 102 1013.9  27.5  28.0  22.8 99.0 99.00
2016 01 03 02 50  79  7.5  8.8  1.39  9.09  5.19 104 1014.2  27.6  28.0  22.6 99.0 99.00
2016 01 03 03 50  81  7.3  8.5  1.39  9.09  5.01 107 1014.1  27.4  27.9  23.0 99.0 99.00
2016 01 03 04 50  90  6.9  8.2  1.33  9.09  5.18 108 1013.8  27.4  27.9  22.7 99.0 99.00
2016 01 03 05 50  77  6.5  7.5  1.19  9.09  5.11 106 1013.5  27.2  27.9  23.2 99.0 99.00
2016 01 03 06 50  84  6.2  7.5  1.21 10.00  5.24 106 1013.1  27.3  27.9  22.8 99.0 99.00
2016 01 03 07 50  82  5.7  6.9  1.34 10.00  5.21 102 1012.5  27.2  27.9  22.8 99.0 99.00
2016 01 03 08 50  80  4.9  6.2  1.34  9.09  5.37  96 1012.3  27.1  27.9  23.0 99.0 99.00
2016 01 03 09 50  80  5.6  6.9  1.42  9.09  5.61  99 1012.4  27.2  27.9  22.7 99.0 99.00
2016 01 03 10 50  75  5.4  6.4  1.47  9.09  5.72 100 1012.7  27.1  27.9  22.9 99.0 99.00
2016 01 03 11 50  85  6.2  7.3  1.60 10.00  5.81 106 1013.1  27.2  27.9  22.7 99.0 99.00
2016 01 03 12 50  85  6.0  7.2  1.56  9.09  5.80 102 1013.8  27.4  27.9  22.7 99.0 99.00
2016 01 03 13 50  82  5.3  6.4  1.54  9.09  5.70 106 1014.6  27.6  27.9  23.0 99.0 99.00
2016 01 03 14 50  75  5.0  6.0  1.82 10.00  6.19 103 1015.2  27.6  27.9  22.5 99.0 99.00
2016 01 03 15 50  79  4.7  5.9  1.93  9.09  6.60 105 1015.4  27.6  27.9  22.5 99.0 99.00
2016 01 03 16 50  70  5.3  6.4  1.71 10.00  6.18 118 1014.7  27.5  27.9  23.2 99.0 99.00
2016 01 03 17 50  68  5.6  6.7  1.73 10.00  5.88 123 1013.9  27.6  28.0  22.5 99.0 99.00
2016 01 03 18 50  80  4.8  5.9  1.47 10.00  5.57 126 1012.8  27.5  28.0  22.8 99.0 99.00
2016 01 03 19 50  83  5.4  6.5  1.49 10.00  5.84 123 1012.1  27.6  28.1  22.6 99.0 99.00
2016 01 03 20 50  84  5.2  6.2  1.34  9.09  5.75 121 1011.5  27.5  28.0  23.1 99.0 99.00
2016 01 03 21 50  86  4.7  6.0  1.22 10.00  5.18 118 1011.7  27.6  27.9  23.0 99.0 99.00
2016 01 03 22 50  78  5.6  7.0  1.10  6.67  5.04 103 1011.9  27.5  28.0  23.4 99.0 99.00
2016 01 03 23 50  79  6.1  6.9  1.10  9.09  5.19 121 1012.1  27.4  28.0  23.5 99.0 99.00
2016 01 04 00 50  74  6.2  7.5  1.13  9.09  5.22 112 1013.0  27.4  28.0  23.6 99.0 99.00
2016 01 04 01 50  66  5.9  7.2  1.28  9.09  5.49 103 1013.9  27.4  28.0  23.5 99.0 99.00
2016 01 04 02 50  74  5.6  6.6  1.16  9.09  5.17 102 1014.0  27.4  27.9  23.6 99.0 99.00
2016 01 04 03 50  73  5.6  6.5  1.19  9.09  5.60  95 1014.0  27.4  27.9  23.6 99.0 99.00
2016 01 04 04 50  69  5.4  6.2  1.10  9.09  5.30  98 1013.5  27.3  27.9  23.6 99.0 99.00
