#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 04 05 50  87  5.3  6.1  1.14  5.88  5.36  89 1012.9  27.2  27.9  23.4 99.0 99.00
2016 01 04 06 50  83  4.9  5.6  1.05  9.09  5.24 109 1012.3  27.1  27.8  23.6 99.0 99.00
2016 01 04 07 50  87  5.3  6.1  0.95  9.09  5.52 109 1011.4  27.2  27.9  23.5 99.0 99.00
2016 01 04 08 50  83  4.4  5.2  1.11  9.09  5.41  85 1011.5  27.1  27.8  23.3 99.0 99.00
2016 01 04 09 50  91  3.8  4.8  1.01  7.14  5.46 105 1011.8  27.1  27.8  23.1 99.0 99.00
2016 01 04 10 50  86  3.4  4.4  1.11  8.33  5.38  36 1012.1  27.1  27.9  23.3 99.0 99.00
2016 01 04 11 50  74  2.6  3.3  1.04  9.09  5.41 134 1012.7  27.1  27.8  23.3 99.0 99.00
2016 01 04 12 50  84  3.2  4.1  1.19  9.09  5.88   4 1013.4  27.4  27.8  23.3 99.0 99.00
2016 01 04 13 50  78  3.3  3.9  1.24  8.33  5.98  52 1014.2  27.7  27.9  23.3 99.0 99.00
2016 01 04 14 50  77  2.8  3.4  1.26  9.09  6.09 103 1014.4  27.6  28.0  23.4 99.0 99.00
2016 01 04 15 50  67  2.3  3.1  1.22  8.33  5.85 117 1014.7  27.8  28.1  23.3 99.0 99.00
2016 01 04 16 50  63  2.7  3.8  1.42  8.33  6.02  77 1014.0  27.6  28.2  23.6 99.0 99.00
2016 01 04 17 50  42  2.3  3.0  1.26  9.09  6.01 329 1013.3  27.6  28.4  23.5 99.0 99.00
2016 01 04 18 50  69  2.3  3.1  1.07  9.09  5.89 334 1012.6  27.9  28.3  23.4 99.0 99.00
2016 01 04 19 50  66  2.0  2.5  1.07  8.33  5.98 352 1012.0  27.8  28.3  23.2 99.0 99.00
2016 01 04 20 50  23  2.8  3.6  1.09 10.81  6.18 326 1012.0  27.6  28.3  23.3 99.0 99.00
2016 01 04 21 50   7  2.3  2.8  1.13  9.09  6.31 336 1012.2  27.4  28.4  22.9 99.0 99.00
2016 01 04 22 50  17  2.3  2.8  1.01  8.33  6.27 112 1012.7  27.4  28.3  23.0 99.0 99.00
2016 01 04 23 50  27  2.9  3.5  1.00 10.00  6.13 308 1013.4  27.2  28.2  23.4 99.0 99.00
2016 01 05 00 50  16  3.1  3.6  0.98  8.33  6.08  88 1014.0  27.3  28.1  23.1 99.0 99.00
2016 01 05 01 50  51  2.3  2.9  1.00  9.09  6.30 338 1014.6  27.4  28.1  23.0 99.0 99.00
2016 01 05 02 50  52  2.8  3.8  1.03 10.00  6.34 319 1015.0  27.4  28.1  22.9 99.0 99.00
2016 01 05 03 50  80  2.7  3.8  0.99  8.33  6.19 298 1015.0  27.1  28.1  23.4 99.0 99.00
2016 01 05 04 50  84  2.3  3.3  1.00  9.09  6.03 319 1014.6  26.9  28.0  23.3 99.0 99.00
2016 01 05 05 50  66  2.2  2.8  1.10  9.09  6.56   5 1014.4  26.8  28.0  23.5 99.0 99.00
2016 01 05 06 50  79  2.5  3.5  1.15  9.09  6.69  76 1013.9  26.8  28.0  23.5 99.0 99.00
2016 01 05 07 50 100  1.5  2.4  1.13  9.09  6.30 312 1013.6  26.7  28.0  23.5 99.0 99.00
2016 01 05 08 50  45  1.7  2.4  1.07  9.09  6.52  94 1013.6  26.7  28.0  23.5 99.0 99.00
2016 01 05 09 50 357  1.2  2.3  0.98  9.09  6.13  50 1014.0  26.8  28.0  23.3 99.0 99.00
2016 01 05 10 50  65  1.0  1.6  0.95  8.33  5.91  90 1014.3  26.7  28.0  23.3 99.0 99.00
2016 01 05 11 50  64  1.1  1.6  1.16  9.09  6.41  53 1014.6  26.7  27.9  23.2 99.0 99.00
2016 01 05 12 50  72  2.4  3.0  1.02  9.09  5.97  92 1015.0  27.0  27.9  23.0 99.0 99.00
2016 01 05 13 50  47  2.0  2.6  1.03  8.33  6.01  97 1015.9  27.1  27.9  22.7 99.0 99.00
2016 01 05 14 50  49  1.5  2.1  1.04  9.09  5.95  29 1016.2  27.3  28.0  22.8 99.0 99.00
2016 01 05 15 50  55  1.5  2.5  1.04  8.33  5.83  95 1016.1  27.2  28.2  22.9 99.0 99.00
2016 01 05 16 50  64  2.0  2.8  1.12  9.09  6.18 278 1016.0  27.3  28.3  23.0 99.0 99.00
2016 01 05 17 50  22  2.7  3.5  1.02  9.09  6.14 109 1015.0  27.2  28.5  23.1 99.0 99.00
2016 01 05 18 50  24  2.9  3.8  1.09  8.33  6.17 112 1014.1  27.3  28.3  22.8 99.0 99.00
2016 01 05 19 50  11  2.9  3.8  1.05  8.33  6.44 111 1013.6  27.4  28.4  22.6 99.0 99.00
2016 01 05 20 50   8  2.7  3.4  0.97  9.09  6.13 332 1013.5  27.5  28.3  22.8 99.0 99.00
2016 01 05 21 50   2  3.8  4.7  0.90  8.33  6.16 157 1013.7  27.3  28.3  22.8 99.0 99.00
2016 01 05 22 50  19  5.1  6.0  0.98  8.33  5.96 312 1013.7  27.4  28.2  22.8 99.0 99.00
2016 01 05 23 50  13  6.6  7.7  1.08  9.09  6.01 322 1014.2  27.1  28.0  23.2 99.0 99.00
2016 01 06 00 50  10  8.2  9.5  1.31  8.33  5.73 355 1014.6  27.0  28.1  23.1 99.0 99.00
2016 01 06 01 50   4  8.2  9.8  1.62  6.67  5.78 347 1015.4  27.1  28.0  23.0 99.0 99.00
2016 01 06 02 50   6  7.7  9.3  1.81  8.33  5.82 324 1015.8  27.0  28.0  22.9 99.0 99.00
2016 01 06 03 50   9  7.8  8.8  1.72  8.33  5.72 314 1016.1  27.0  27.9  22.6 99.0 99.00
2016 01 06 04 50  11  8.2  9.8  1.82  7.69  5.60 322 1016.0  26.9  27.8  22.0 99.0 99.00
2016 01 06 05 50   8  7.7  9.0  1.81  7.14  5.61 350 1015.6  26.9  27.8  22.1 99.0 99.00
2016 01 06 06 50  17  7.4  9.0  1.85  6.67  5.81 343 1015.4  26.8  27.9  21.8 99.0 99.00
2016 01 06 07 50  16  8.1  9.3  1.52  6.67  5.42 331 1014.7  26.8  27.9  21.5 99.0 99.00
2016 01 06 08 50  21  8.4  9.7  1.71  6.67  5.47 333 1014.5  26.7  27.9  21.3 99.0 99.00
2016 01 06 09 50  23  8.2 10.0  1.65  6.67  5.25 346 1014.5  26.9  27.8  20.5 99.0 99.00
2016 01 06 10 50  31  9.2 10.7  1.53  6.25  5.14 349 1013.9  26.9  27.8  20.9 99.0 99.00
2016 01 06 11 50  33  7.4  8.9  1.54  6.67  5.17 345 1015.2  26.9  27.8  21.2 99.0 99.00
2016 01 06 13 50  66  6.2  7.3  1.56  6.67  5.35 350 1016.9  27.2  27.8  20.6 99.0 99.00
2016 01 06 14 50  69  5.6  6.6  1.49  6.67  5.47 324 1017.0  27.2  27.9  22.0 99.0 99.00
2016 01 06 15 50  93  6.1  7.1  1.31  6.67  5.32 312 1016.5  27.2  27.9  21.9 99.0 99.00
2016 01 06 16 50 100  6.2  7.3  1.17  6.67  5.28 311 1015.9  27.4  28.0  21.2 99.0 99.00
2016 01 06 17 50 105  6.0  7.3  1.23  6.25  5.36 328 1014.9  27.3  28.0  22.3 99.0 99.00
2016 01 06 18 50  70  2.9  4.6  1.11  6.25  5.01 352 1014.3  27.2  28.1  22.3 99.0 99.00
2016 01 06 19 50 104  2.2  2.9  1.17  6.25  5.10 339 1013.7  27.3  28.1  22.9 99.0 99.00
2016 01 06 20 50  61  1.1  1.8  1.17  5.88  5.24 341 1013.8  27.4  28.1  23.1 99.0 99.00
2016 01 06 21 50   8  1.8  3.1  1.12  5.56  5.28 344 1013.8  27.5  28.1  23.2 99.0 99.00
2016 01 06 22 50   8  3.3  3.9  1.11  6.25  5.49 326 1014.0  27.3  28.1  22.8 99.0 99.00
2016 01 06 23 50   8  3.4  4.4  1.08  5.88  5.47 340 1014.3  27.2  28.0  22.6 99.0 99.00
2016 01 07 00 50  11  3.7  4.5  1.00  6.25  5.41 317 1015.0  27.2  27.9  22.4 99.0 99.00
2016 01 07 01 50   9  4.3  5.1  0.93  6.25  5.21 320 1015.7  27.3  27.9  22.4 99.0 99.00
2016 01 07 02 50  14  4.7  5.8  1.00  6.67  5.34 360 1016.0  27.3  27.9  22.5 99.0 99.00
2016 01 07 03 50  12  5.3  6.2  1.03  6.25  5.22 339 1015.8  27.2  27.9  22.0 99.0 99.00
2016 01 07 04 50  24  5.7  6.9  1.01  6.25  5.23 334 1015.4  27.3  27.9  21.8 99.0 99.00
2016 01 07 05 50  34  5.7  7.0  0.99  6.25  5.02 340 1015.0  27.1  27.8  22.1 99.0 99.00
2016 01 07 06 50  35  6.4  7.5  0.90  6.67  4.70 333 1014.4  27.1  27.8  21.9 99.0 99.00
2016 01 07 07 50  40  6.1  7.7  0.98  6.25  4.73   1 1013.7  27.1  27.8  21.9 99.0 99.00
2016 01 07 08 50  40  6.0  7.4  0.98  5.88  4.71   4 1013.4  26.9  27.9  21.6 99.0 99.00
2016 01 07 09 50  52  5.3  6.2  0.88  5.56  4.68 336 1013.5  26.9  27.8  21.4 99.0 99.00
2016 01 07 10 50  62  4.8  5.8  0.82  5.56  4.72 325 1013.7  26.9  27.8  21.9 99.0 99.00
2016 01 07 11 50  76  5.3  6.2  0.86  5.88  4.71 330 1014.1  26.9  27.8  21.9 99.0 99.00
2016 01 07 12 50  85  5.6  6.8  0.79  7.14  4.83 353 1014.4  27.1  27.8  21.7 99.0 99.00
2016 01 07 13 50  83  5.6  6.5  0.76  5.88  4.64 299 1015.2  27.3  27.9  22.0 99.0 99.00
2016 01 07 14 50  91  6.0  7.1  0.74  6.25  4.51 344 1015.6  27.3  27.9  21.9 99.0 99.00
2016 01 07 15 50 105  5.5  6.3  0.74  7.69  4.68 123 1015.5  27.4  27.9  21.8 99.0 99.00
2016 01 07 16 50  98  4.4  5.7  0.66  7.14  4.51 101 1015.0  27.4  28.0  22.2 99.0 99.00
2016 01 07 17 50 113  3.6  4.2  0.67  7.69  4.50 330 1014.3  27.4  28.1  22.5 99.0 99.00
2016 01 07 18 50 114  4.3  5.1  0.65  6.67  4.53 103 1013.2  27.4  28.2  21.9 99.0 99.00
2016 01 07 19 50 117  4.1  5.5  0.63  6.67  4.66 114 1012.5  27.4  28.2  22.0 99.0 99.00
2016 01 07 20 50 119  3.5  4.3  0.66  7.69  4.76 147 1012.2  27.5  28.3  22.2 99.0 99.00
2016 01 07 21 50 100  3.6  4.8  0.66  7.69  4.71 301 1012.1  27.5  28.2  22.5 99.0 99.00
2016 01 07 22 50  90  4.1  4.9  0.65  6.67  4.65 102 1012.2  27.2  28.1  22.4 99.0 99.00
2016 01 07 23 50 100  4.4  5.1  0.61  7.69  4.61 129 1012.5  27.1  28.0  22.4 99.0 99.00
2016 01 08 00 50 115  4.6  5.6  0.69  7.69  4.63 161 1013.3  27.1  28.0  22.5 99.0 99.00
2016 01 08 01 50 111  4.4  5.0  0.65  7.69  4.59 256 1014.0  27.1  28.0  22.2 99.0 99.00
2016 01 08 02 50 113  4.4  5.4  0.69  7.14  4.65  86 1014.7  27.2  27.9  22.1 99.0 99.00
2016 01 08 03 50 116  4.9  5.5  0.65  7.69  4.56 332 1014.3  27.0  27.9  22.5 99.0 99.00
2016 01 08 04 50 121  4.9  6.2  0.64  7.14  4.48  99 1014.0  27.1  27.9  22.6 99.0 99.00
2016 01 08 05 50 119  4.6  5.4  0.67  6.25  4.50 120 1013.7  27.0  27.9  22.6 99.0 99.00
2016 01 08 06 50 121  4.5  5.6  0.67  7.14  4.51 116 1013.1  27.0  27.9  22.6 99.0 99.00
2016 01 08 07 50 115  4.7  5.8  0.62  6.67  4.45 133 1012.3  26.9  27.8  22.8 99.0 99.00
2016 01 08 08 50 129  4.3  5.1  0.62  8.33  4.56 322 1011.9  26.8  27.8  22.8 99.0 99.00
2016 01 08 09 50 129  4.4  5.5  0.61  7.69  4.62 110 1012.1  26.7  27.9  22.8 99.0 99.00
2016 01 08 10 50 130  4.1  4.9  0.60  7.14  4.34  93 1012.3  26.8  27.8  22.7 99.0 99.00
2016 01 08 11 50 127  4.1  5.0  0.63  6.25  4.45 129 1012.8  26.7  27.8  22.5 99.0 99.00
2016 01 08 12 50 119  3.8  4.4  0.64  7.14  4.40 110 1013.7  27.1  27.8  22.6 99.0 99.00
2016 01 08 13 50 126  5.5  6.4  0.61  7.14  4.13  95 1014.2  27.2  27.8  22.4 99.0 99.00
2016 01 08 14 50 120  5.2  6.1  0.64  7.14  4.18 114 1014.6  27.3  27.9  22.4 99.0 99.00
2016 01 08 15 50 128  5.7  6.5  0.58  7.69  4.01  76 1014.4  27.2  27.9  22.4 99.0 99.00
2016 01 08 16 50 127  4.8  5.8  0.54  6.67  3.93 127 1013.9  27.2  28.0  22.7 99.0 99.00
2016 01 08 17 50 117  4.4  5.4  0.53  7.69  4.28  58 1013.5  27.3  28.0  22.3 99.0 99.00
2016 01 08 18 50 128  3.8  5.0  0.48  6.67  4.13 115 1012.6  27.2  28.1  22.8 99.0 99.00
2016 01 08 19 50 124  3.8  5.2  0.51  7.14  4.41 127 1011.8  27.2  28.2  22.6 99.0 99.00
2016 01 08 20 50 117  4.7  5.4  0.51  7.14  4.36 119 1011.3  27.3  28.2  22.3 99.0 99.00
2016 01 08 21 50 117  5.0  6.1  0.53  7.14  4.27 117 1011.4  27.3  28.1  22.5 99.0 99.00
2016 01 08 22 50 122  4.6  5.3  0.50  6.25  4.19 113 1011.7  27.3  28.0  22.6 99.0 99.00
2016 01 08 23 50 115  3.8  4.6  0.45  6.67  4.14 132 1012.1  27.2  28.0  22.7 99.0 99.00
2016 01 09 00 50 107  3.9  4.7  0.51  7.14  4.33 117 1012.5  27.2  28.0  22.5 99.0 99.00
2016 01 09 01 50 117  4.0  4.8  0.49  7.14  4.31 134 1013.0  27.1  27.9  22.7 99.0 99.00
2016 01 09 02 50 113  4.2  5.0  0.50  7.14  4.32 125 1013.4  27.1  27.8  22.9 99.0 99.00
2016 01 09 03 50 118  4.7  5.5  0.52  6.25  4.49 138 1013.3  27.1  27.8  22.8 99.0 99.00
2016 01 09 04 50 128  5.1  6.3  0.50  5.88  4.29 125 1013.2  27.1  27.9  22.7 99.0 99.00
2016 01 09 05 50 127  5.7  7.1  0.49  7.14  4.03 118 1012.8  27.1  27.8  22.4 99.0 99.00
2016 01 09 06 50 129  5.5  6.4  0.48  6.25  3.83 112 1012.4  27.0  27.9  22.5 99.0 99.00
2016 01 09 07 50 130  5.3  6.3  0.46  5.88  3.82 108 1011.8  26.9  27.9  22.6 99.0 99.00
2016 01 09 08 50 139  4.9  6.2  0.44  6.67  3.87  92 1011.5  26.9  27.9  22.7 99.0 99.00
2016 01 09 09 50 138  4.7  5.6  0.44  7.14  4.00 115 1011.5  26.9  27.8  22.5 99.0 99.00
2016 01 09 10 50 130  4.5  5.6  0.42  6.67  4.11  91 1011.6  26.8  27.8  23.1 99.0 99.00
2016 01 09 11 50 134  5.1  6.3  0.44  6.25  4.02  95 1011.8  26.8  27.8  23.0 99.0 99.00
2016 01 09 12 50 127  5.7  6.7  0.45  7.14  4.24  89 1012.4  27.1  27.7  22.8 99.0 99.00
2016 01 09 13 50 135  5.6  6.4  0.46  6.67  4.28 107 1013.2  27.3  27.8  22.8 99.0 99.00
2016 01 09 14 50 123  6.0  7.1  0.51  7.14  3.94 108 1013.5  27.3  27.9  22.9 99.0 99.00
2016 01 09 15 50 124  5.0  6.2  0.54  7.14  3.93 122 1013.8  27.4  28.0  22.7 99.0 99.00
2016 01 09 16 50 121  5.3  6.0  0.54  7.14  3.71 119 1013.3  27.4  28.1  22.8 99.0 99.00
2016 01 09 17 50 129  5.3  6.2  0.53  6.67  3.83 135 1012.5  27.5  28.1  23.0 99.0 99.00
2016 01 09 18 50 128  6.4  7.7  0.57  6.67  3.77 114 1011.5  27.4  28.1  23.2 99.0 99.00
2016 01 09 19 50 131  6.2  6.9  0.63  6.25  3.58 115 1010.9  27.5  28.1  23.1 99.0 99.00
2016 01 09 20 50 130  6.7  7.9  0.61  6.67  3.61 119 1010.6  27.4  28.1  22.9 99.0 99.00
2016 01 09 21 50 125  6.0  7.1  0.63  6.67  3.74 128 1010.7  27.4  28.0  23.2 99.0 99.00
2016 01 09 22 50 133  6.1  7.0  0.69  6.67  3.72 102 1011.0  27.4  28.0  23.0 99.0 99.00
2016 01 09 23 50 124  5.2  6.3  0.63  3.85  3.60 130 1011.5  27.3  28.0  23.1 99.0 99.00
2016 01 10 00 50 127  5.2  6.1  0.59  6.25  3.79 115 1012.3  27.3  27.9  23.1 99.0 99.00
2016 01 10 01 50 118  5.3  6.3  0.59  7.14  3.93 118 1012.9  27.3  27.8  23.1 99.0 99.00
2016 01 10 02 50 118  5.5  6.2  0.63  6.67  3.96 113 1013.1  27.4  27.9  23.0 99.0 99.00
2016 01 10 03 50 121  5.9  7.3  0.64  6.25  3.83 117 1013.1  27.3  27.9  22.9 99.0 99.00
2016 01 10 04 50 121  5.6  6.5  0.65  6.25  3.98 111 1013.1  27.3  27.9  23.1 99.0 99.00
2016 01 10 05 50 126  5.3  6.4  0.64  7.14  4.07 115 1013.1  27.2  27.9  23.0 99.0 99.00
2016 01 10 06 50 126  5.5  6.4  0.61  6.67  4.02 105 1012.8  27.1  27.9  22.7 99.0 99.00
2016 01 10 07 50 115  5.0  6.0  0.61  6.67  4.02 101 1012.4  27.1  27.8  23.1 99.0 99.00
2016 01 10 08 50 117  4.5  5.8  0.65  4.17  4.09 111 1012.4  26.9  27.8  22.9 99.0 99.00
2016 01 10 09 50 109  4.3  5.3  0.64  4.55  4.11 102 1012.4  27.0  27.8  23.0 99.0 99.00
2016 01 10 10 50 119  5.0  6.1  0.62  6.25  4.18 105 1012.5  27.1  27.8  22.6 99.0 99.00
2016 01 10 11 50 116  5.1  6.2  0.63  5.56  4.15 108 1013.2  27.0  27.8  22.7 99.0 99.00
2016 01 10 12 50 115  5.3  6.2  0.59  5.88  3.94 101 1014.0  27.2  27.8  22.7 99.0 99.00
