@relation Station_46001_2018_02_23_10_23_1.arff

@attribute air numeric
@attribute WDIR numeric

@data
277.286147,278
276.586695,229
277.013624,137
277.464715,135
277.290562,109
277.361404,93
277.861414,70
278.038899,41
277.81529,33
278.55752,11
278.362527,349
278.714191,256
279.385011,297
279.435032,71
277.660836,122
277.380011,134
277.260861,150
277.818092,110
277.885037,160
278.063645,192
277.841136,195
277.782802,213
278.190024,199
278.689448,290
278.236133,325
278.96141,310
278.787249,292
278.531145,282
278.210331,276
277.837802,308
277.538367,309
277.690582,302
277.841697,303
277.441137,303
277.241132,240
277.56585,225
277.319737,204
276.868069,160
277.18834,359
277.441132,197
277.790575,134
277.815856,254
277.382246,209
277.013651,132
277.543915,84
277.743353,116
277.307523,285
277.309201,251
278.188354,236
277.414744,226
277.135588,181
277.388917,49
278.038357,359
277.413072,311
278.208087,280
278.786696,283
279.008628,265
277.634498,275
276.983925,247
277.141697,174
277.568079,163
277.739467,182
277.913644,190
278.038925,176
278.064203,164
277.565879,226
277.08615,218
277.187243,192
277.687254,194
277.518078,205
277.014752,184
277.792252,210
277.415321,209
277.138366,205
276.258659,216
276.544501,197
275.773655,242
276.193924,243
276.690029,249
278.314749,270
278.437241,288
277.80976,284
277.656421,286
277.833919,285
277.965289,259
277.589447,246
277.814742,257
278.138352,198
278.664736,232
277.915854,195
277.860864,176
278.189471,138
278.420298,123
278.219183,122
277.719188,107
278.417515,119
278.421409,109
278.567516,178
278.60697,241
278.532813,198
278.734466,195
278.563635,166
278.538362,103
279.014752,76
279.166981,40
279.419764,49
279.346696,44
279.768092,43
279.893355,42
279.539478,30
279.111975,5
279.861955,37
280.09,106
279.764171,96
279.31473,127
280.06529,111
280.365833,173
279.740551,254
279.416945,249
279.687798,218
279.587222,209
279.186719,167
279.116409,139
279.821963,133
279.666412,186
279.31364,228
279.339457,242
279.693908,239
280.190554,304
280.014724,288
279.519746,315
280.241135,351
280.467487,335
279.690001,323
280.06474,317
279.688353,75
279.463087,138
279.337255,103
279.362522,90
279.618627,94
280.170849,114
279.639463,156
279.136692,121
279.49002,94
279.262527,141
279.517528,150
279.440024,146
279.81809,155
279.714195,194
279.839465,173
279.611982,152
279.863633,131
280.089455,126
279.839458,303
279.867501,328
280.318061,348
281.468055,268
280.844997,65
280.020867,16
280.41863,46
280.82471,20
280.450031,200
280.945021,99
281.322513,108
280.543364,118
280.414203,114
280.56308,88
280.743899,86
280.441148,42
280.169772,29
281.269184,35
281.494435,45
281.315833,36
280.590581,17
281.3378,6
281.61752,282
281.491701,251
281.188354,260
281.139461,232
281.590029,229
281.091689,217
280.840038,172
280.940032,54
280.918073,79
280.591686,25
280.56864,351
280.644481,319
281.368091,281
280.887801,264
280.959203,257
281.161421,235
281.083359,220
281.03556,232
280.467533,251
281.640021,239
281.392782,254
280.816401,232
281.187233,248
281.388908,211
281.213618,276
280.791141,289
281.237249,293
281.444456,309
281.144473,114
281.040565,106
281.115859,84
281.045025,76
281.468644,55
281.215323,42
281.566419,29
282.233337,333
282.011938,284
282.685559,266
282.637235,303
284.282198,278
282.882773,270
282.8828,268
282.4828,258
282.085014,255
281.456953,262
281.137237,244
281.712516,0
281.963601,68
281.338879,119
280.766402,173
281.564182,104
281.516943,91
281.989415,353
281.63945,326
282.061398,318
282.484413,1
282.186086,46
282.140563,234
281.462506,190
282.309155,238
281.332223,248
281.509748,245
281.504749,255
282.081149,248
281.461411,206
282.240569,193
282.617506,226
282.841123,248
281.964169,255
282.163084,258
282.16086,242
282.0153,252
281.716973,249
282.068082,268
281.78836,260
282.291128,279
281.936685,268
281.686133,241
282.186698,256
282.860854,276
282.738318,304
282.261956,261
282.937228,328
283.490559,308
282.985565,277
282.458629,257
283.058631,241
282.985008,273
282.360847,250
281.961966,223
281.488907,211
282.266956,200
281.967505,181
281.514734,137
281.987799,120
282.913613,58
283.014166,23
282.764742,278
282.763614,252
282.943348,234
282.713059,219
282.485573,213
282.563075,217
282.466958,189
282.293914,213
282.492806,217
282.463064,177
282.817519,177
282.488922,203
281.76198,188
282.037258,198
282.339476,156
282.018639,174
281.988925,138
282.31364,119
282.870301,82
282.422532,112
282.191138,136
282.340026,159
282.66916,133
282.644999,109
282.263627,114
283.014192,113
283.291117,108
283.118626,119
282.715296,61
283.089457,65
282.969741,359
282.444463,296
282.617522,250
283.037252,216
282.888353,162
282.386698,146
281.831143,146
282.338345,155
282.520865,149
283.019183,147
282.863648,155
282.861967,193
283.315853,212
283.015282,225
282.863633,228
283.166952,220
282.837243,241
282.76585,256
282.764744,251
282.666947,196
282.750568,170
283.278059,151
283.692248,193
282.964753,220
283.635001,232
283.163623,255
283.211963,261
282.834471,254
283.08334,270
282.811389,254
282.014182,245
281.991112,189
281.692209,132
282.071947,119
281.712511,212
281.988902,169
281.913044,84
283.386634,29
283.960271,23
283.189456,30
283.534998,268
283.032787,191
282.763627,199
282.288897,168
283.146113,177
282.997792,164
283.263614,161
282.841142,159
283.219737,167
282.992236,187
282.639474,235
282.487797,208
283.034469,224
282.937217,226
282.760303,216
282.363635,207
283.614741,212
283.140024,213
282.715852,218
282.438346,222
282.640006,262
282.714698,317
282.036671,334
282.961953,334
283.536098,351
282.911387,321
282.883367,252
282.383357,247
282.311394,242
282.861941,225
282.685566,226
283.112517,274
284.10971,279
284.509167,251
283.817498,263
283.513629,214
283.438894,204
283.68947,151
283.764193,178
283.364191,182
283.842234,164
283.515303,163
283.264745,167
283.615306,161
283.915278,190
284.120284,258
283.818073,11
284.216407,38
284.268079,21
283.943363,241
283.56419,193
284.716404,176
285.087242,214
284.4114,237
284.337807,233
283.98723,225
284.334453,230
283.660831,222
284.063632,235
283.965855,295
284.34001,201
284.612507,181
283.762522,200
283.513077,188
283.319745,180
283.623613,159
283.470854,159
284.117537,221
283.817517,227
283.918625,190
283.891126,6
284.270294,341
283.946101,309
283.923067,301
283.891137,296
284.016413,261
284.118612,122
284.143342,106
283.31474,54
283.914181,28
284.287795,316
284.013643,242
283.433909,189
283.240575,167
283.268632,128
283.721418,81
283.742262,80
284.442263,80
283.750561,78
284.348904,75
283.966981,60
284.791691,50
283.99168,57
284.417522,78
284.365851,82
284.73947,82
283.79391,74
284.691698,79
284.518636,92
284.73892,78
284.370854,96
284.970851,110
284.942249,125
284.819195,126
284.470294,159
284.766973,176
284.338918,195
284.341142,189
284.492238,163
284.517513,180
284.69224,173
284.716405,167
284.591698,156
284.717531,122
284.413089,110
284.237817,70
284.539468,24
284.560301,333
284.366972,286
283.965302,178
284.841155,214
284.340586,194
284.765315,188
284.867509,178
285.040013,173
285.26308,188
285.06252,250
284.48726,259
284.564746,273
284.639471,297
284.53947,319
284.74003,331
285.491125,330
285.038355,310
284.663639,280
284.51309,278
284.419183,235
284.365296,195
284.313624,204
285.042807,246
284.766414,246
284.48946,288
284.761977,287
285.191135,69
285.518066,27
285.363633,314
284.866419,332
284.865854,15
285.415294,333
284.88946,298
285.164175,234
284.787241,228
285.808042,248
284.983894,232
285.288362,244
285.387801,253
286.059733,309
286.434457,316
286.060869,326
285.365859,316
285.940004,324
285.437793,317
285.113103,282
285.03561,286
284.861415,273
284.390013,212
285.390021,199
285.041141,174
285.143363,166
285.391147,212
284.944477,217
284.768089,251
284.691693,238
284.216415,288
284.116422,257
284.066419,284
284.519171,247
284.445013,223
284.970307,240
285.016968,221
285.423624,162
285.643923,215
285.316416,212
285.119213,221
285.096693,238
284.918633,257
284.543372,240
284.720288,192
285.47417,169
286.315863,199
285.866977,216
284.868643,223
284.920299,234
284.018079,247
284.293364,245
283.816959,247
284.770292,246
283.893355,196
283.047256,52
283.092266,323
283.3714,277
283.518628,218
282.641695,186
282.493906,129
283.123077,22
283.890576,345
284.263095,315
284.140587,320
284.139472,311
284.335032,294
283.460326,285
283.660868,269
283.668635,228
283.769181,248
284.418072,244
284.54448,146
284.571416,225
283.764214,238
283.664757,237
283.667527,226
283.695016,229
283.7417,257
283.741135,271
284.141708,285
284.041699,279
283.514206,269
283.640592,246
283.792806,214
284.067527,212
284.141134,208
284.315856,194
284.018076,180
284.422503,153
285.6203,172
285.866983,171
284.069219,229
283.792257,214
283.566955,223
283.391139,231
282.987815,236
283.536137,202
283.941684,184
284.342788,184
284.068616,175
284.722523,169
284.920859,165
285.521415,163
285.893908,163
285.992262,180
285.221973,183
285.374208,166
284.795038,169
284.619207,178
283.995043,162
284.04727,138
284.498381,127
285.197248,131
284.798912,131
284.571987,131
284.468655,145
284.315883,134
283.693369,155
283.41808,191
283.895028,244
283.539468,267
283.015874,270
282.666985,246
281.986699,189
282.274194,150
283.428629,132
283.719757,131
283.186691,229
282.866418,215
282.773073,194
283.066967,152
283.120283,116
282.16696,164
283.171414,181
282.23837,198
283.21807,223
283.467513,228
282.741146,232
282.166425,234
281.342828,241
280.846705,250
280.321989,249
280.151143,246
280.22087,207
280.919741,193
279.94504,267
280.065877,259
280.29006,272
280.621967,303
280.594467,309
280.543364,303
281.563634,277
281.863635,230
281.761969,206
281.886697,172
282.429737,137
282.319764,244
282.468628,253
283.02307,151
283.721967,176
283.694477,185
283.742257,187
283.588926,191
283.787808,206
283.218641,189
283.293375,186
283.416965,180
283.366423,190
282.866988,183
283.043382,183
282.520313,198
282.845038,194
282.742793,189
283.013081,210
282.140576,176
282.716955,172
281.345575,149
281.543364,203
281.345035,196
281.548904,230
281.372532,246
280.819742,264
280.615859,241
281.674737,232
281.169195,151
281.817531,95
280.9417,91
281.273625,104
282.019749,85
282.318097,81
282.218657,85
282.395584,86
282.66587,63
282.960316,84
282.761419,107
282.366966,190
282.611977,206
282.211981,193
282.0142,193
282.292241,170
282.213079,142
281.456428,270
280.428385,263
280.00976,227
279.162531,198
279.392797,192
279.144495,285
278.793391,289
278.289513,321
277.069226,281
276.873105,274
276.830307,254
275.974189,254
276.820319,279
276.989503,309
277.692274,304
277.637829,311
277.564766,273
277.538941,334
278.065314,210
277.886159,315
278.011445,355
278.236733,328
278.460327,340
278.760351,311
279.084524,352
278.73396,324
279.312004,348
279.059228,5
279.183941,6
278.862546,49
279.415304,73
278.364191,59
278.438387,274
278.865877,328
278.691716,25
278.564211,340
278.586168,48
278.565907,62
279.266447,38
279.239504,35
280.086739,86
279.765892,77
280.587271,155
280.288381,87
279.783402,95
279.908645,81
280.440574,88
280.067511,92
279.692255,92
279.568639,99
279.009747,97
279.433385,95
278.961437,75
279.441701,78
279.365879,97
278.817531,103
279.187814,88
279.338357,73
279.384487,42
279.227263,356
279.056998,279
279.110325,250
278.964763,252
278.716983,263
276.975914,331
275.572016,303
275.341194,288
274.96701,299
274.691188,247
274.615339,267
274.532288,230
274.936739,120
279.141711,87
280.764758,83
280.791704,82
280.859207,122
279.959755,122
279.614731,109
279.364749,107
279.786147,100
279.936141,70
279.860315,336
279.556983,29
279.709221,17
280.035045,1
279.660892,325
278.912017,311
278.113144,237
277.312578,262
277.036755,231
275.954802,248
276.502565,127
277.251457,24
278.707013,16
278.43452,321
277.836192,320
278.107007,309
277.356991,268
278.110301,232
279.342235,170
280.215299,191
280.385589,217
280.358093,187
280.310869,152
280.163086,148
280.235588,153
280.61308,223
280.259751,231
280.013098,271
280.010882,293
279.706422,269
279.833376,277
279.633932,345
279.863083,8
280.236161,357
279.814779,350
280.084497,261
279.26033,314
278.932283,270
278.935032,255
279.765289,207
280.442807,182
279.561999,260
278.83726,227
279.568621,243
279.26254,228
279.060877,228
278.888929,219
279.290041,28
278.835051,38
279.476735,16
280.535631,45
279.511469,3
277.862036,325
276.781763,283
275.955926,294
276.431759,285
276.084531,299
276.157595,36
275.882878,11
276.322316,110
276.773404,116
276.970624,137
277.50089,60
278.27729,17
278.659252,62
279.031758,42
279.010369,359
279.380081,109
278.954775,94
278.97283,126
278.776173,135
278.950335,97
279.383947,66
279.633382,101
279.285597,60
278.610325,47
279.764786,40
279.8873,35
279.86203,26
279.605913,16
279.19925,9
278.393136,276
276.590917,243
277.03061,234
277.617529,183
278.265323,143
278.915335,122
279.33339,138
279.229496,161
279.14589,237
279.201438,112
279.532823,69
279.338373,93
279.513655,90
279.290025,85
279.38504,79
279.36032,60
279.558675,71
280.286712,75
280.732275,69
280.090615,63
279.615337,32
278.869224,45
279.020904,50
278.19454,50
279.485639,47
279.192284,83
278.675895,52
277.248405,10
276.663673,354
276.16368,354
276.411454,347
276.237274,357
276.334495,356
276.412007,349
276.287828,358
275.718122,358
275.185656,162
275.231752,354
276.830642,101
276.263131,34
276.108147,33
275.730671,306
275.575688,269
274.647604,289
274.270099,270
274.270641,286
273.797566,241
273.949783,254
274.027832,233
275.680601,70
275.955332,303
275.854792,315
275.398138,272
274.755361,231
275.644493,189
277.274758,137
278.393918,130
279.428068,126
279.619745,227
279.2406,226
278.616424,222
279.317519,233
279.016971,233
278.81864,231
278.295035,213
277.862536,297
278.115327,286
277.61423,305
277.312003,312
276.990058,291
278.373069,269
278.943886,258
279.390016,232
278.642813,241
279.613638,267
278.891687,271
278.589471,263
278.511434,262
278.765328,247
277.838926,232
277.193937,84
277.089495,7
276.537822,321
276.612543,286
276.506996,294
275.587287,280
273.641734,260
271.867585,317
272.089505,327
273.015896,321
273.741716,327
273.541713,319
274.387823,323
274.536146,317
274.938389,294
275.314171,184
276.715299,131
276.417517,120
277.193366,84
276.063707,47
275.63568,6
276.535671,33
276.438451,15
275.266506,348
274.287887,4
273.939546,20
275.237891,10
275.040637,11
275.091185,95
274.443945,59
275.242838,30
274.621997,351
274.690613,42
274.515887,335
275.254225,113
274.579495,176
273.7295,181
274.930044,157
274.80978,145
275.510877,163
275.458111,183
275.862561,157
275.015906,164
274.159243,290
274.1373,325
274.140081,303
274.94892,264
275.670874,139
277.442262,128
278.098358,125
278.621416,156
278.291699,149
278.313077,134
277.786136,146
277.186688,171
277.732257,256
277.783923,252
277.643902,162
277.888903,163
278.538925,143
278.73781,190
277.892263,142
279.141151,99
279.616415,133
278.282816,149
278.037263,180
278.710327,191
278.341124,186
277.914194,184
278.243901,126
278.718097,125
